sale_date,title,price,platform,card,set_name,variant,grade,grading_company,keep,notes,grade_pop,total_pop
2026-04-22,Mewtwo VSTAR PSA 10,600.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-22,Mewtwo VSTAR PSA 10,585.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-22,Mewtwo VSTAR PSA 10,620.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-21,Mewtwo VSTAR PSA 10,500.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 10,560.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 10,600.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 10,565.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-19,Mewtwo VSTAR PSA 10,562.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-19,Mewtwo VSTAR PSA 10,551.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-19,Mewtwo VSTAR PSA 10,522.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-18,Mewtwo VSTAR PSA 10,572.88,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-18,Mewtwo VSTAR PSA 10,548.11,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-17,Mewtwo VSTAR PSA 10,500.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-17,Mewtwo VSTAR PSA 10,525.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
