cardName,cardNumber,cardRarity,cardSubType,cleanName,finishType,marketPrice,setEra,setName,source_file,stage,supertype
Mega Evolution Elite Trainer Box [Mega Gardevoir],,,,,Normal,95.37,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Pokemon Center Elite Trainer Box (Exclusive) [Mega Lucario],,,,,Normal,245.08,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Booster Box,,,,,Normal,310.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Enhanced Booster Box,,,,,Normal,290.46,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Half Booster Box,,,,,Normal,,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Booster Pack,,,,,Normal,6.42,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Sleeved Booster Pack,,,,,Normal,8.99,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Sleeved Booster Pack Art Bundle [Set of 4],,,,,Normal,39.62,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution 3 Pack Blister [Golduck],,,,,Normal,28.23,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution 3 Pack Blister [Psyduck],,,,,Normal,34.72,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Single Pack Blister [Drifloon],,,,,Normal,11.59,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Single Pack Blister [Drifblim,,,,,Normal,10.97,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Premium Checklane Blister [Tyranitar],,,,,Normal,26.69,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Premium Checklane Blister [Meowscarada],,,,,Normal,20.81,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Booster Bundle,,,,,Normal,56.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Build & Battle Box,,,,,Normal,51.97,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Elite Trainer Box Case,,,,,Normal,855.32,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Booster Bundle Case,,,,,Normal,1096.62,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Booster Box Case,,,,,Normal,1607.86,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Build & Battle Box Display,,,,,Normal,466.81,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Enhanced Booster Case,,,,,Normal,1623.03,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Elite Trainer Box [Mega Lucario],,,,,Normal,93.63,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Pokemon Center Elite Trainer Box (Exclusive) [Mega Gardevoir],,,,,Normal,216.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Heroes Mini Tin Display,,,,,Normal,201.56,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Heroes Mini Tin [Mega Gardevoir],,,,,Normal,17.45,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Heroes Mini Tin [Mega Kangaskhan],,,,,Normal,16.7,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Heroes Mini Tin [Mega Latias],,,,,Normal,18.03,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Heroes Mini Tin [Mega Lucario],,,,,Normal,18.48,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Heroes Mini Tin [Mega Venusaur],,,,,Normal,18.48,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Mega Evolution Sleeved Booster Case,,,,,Normal,1102.73,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,,unknown
Bulbasaur - 001/132,001/132,Common,Grass,Bulbasaur,Reverse Holofoil,0.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Bulbasaur - 001/132,001/132,Common,Grass,Bulbasaur,Normal,0.21,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Ivysaur - 002/132,002/132,Common,Grass,Ivysaur,Reverse Holofoil,0.31,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Ivysaur - 002/132,002/132,Common,Grass,Ivysaur,Normal,0.25,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Mega Venusaur ex - 003/132,003/132,Double Rare,Grass,Mega Venusaur,Holofoil,0.95,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Exeggcute,004/132,Common,Grass,Exeggcute,Reverse Holofoil,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Exeggcute,004/132,Common,Grass,Exeggcute,Normal,0.05,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Exeggutor - 005/132,005/132,Uncommon,Grass,Exeggutor,Normal,0.05,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Exeggutor - 005/132,005/132,Uncommon,Grass,Exeggutor,Reverse Holofoil,0.22,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Tangela,006/132,Common,Grass,Tangela,Reverse Holofoil,0.14,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Tangela,006/132,Common,Grass,Tangela,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Tangrowth,007/132,Uncommon,Grass,Tangrowth,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Tangrowth,007/132,Uncommon,Grass,Tangrowth,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Chikorita,008/132,Common,Grass,Chikorita,Normal,0.25,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Chikorita,008/132,Common,Grass,Chikorita,Reverse Holofoil,0.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Bayleef,009/132,Common,Grass,Bayleef,Normal,0.21,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Bayleef,009/132,Common,Grass,Bayleef,Reverse Holofoil,0.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Meganium,010/132,Rare,Grass,Meganium,Holofoil,0.28,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Meganium,010/132,Rare,Grass,Meganium,Reverse Holofoil,0.25,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Shuckle - 011/132,011/132,Uncommon,Grass,Shuckle,Normal,0.1,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Shuckle - 011/132,011/132,Uncommon,Grass,Shuckle,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Celebi,012/132,Uncommon,Grass,Celebi,Reverse Holofoil,0.23,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Celebi,012/132,Uncommon,Grass,Celebi,Normal,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Seedot,013/132,Common,Grass,Seedot,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Seedot,013/132,Common,Grass,Seedot,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Nuzleaf,014/132,Common,Grass,Nuzleaf,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Nuzleaf,014/132,Common,Grass,Nuzleaf,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Shiftry,015/132,Uncommon,Grass,Shiftry,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Shiftry,015/132,Uncommon,Grass,Shiftry,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Nincada,016/132,Common,Grass,Nincada,Normal,0.05,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Nincada,016/132,Common,Grass,Nincada,Reverse Holofoil,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Ninjask - 017/132,017/132,Uncommon,Grass,Ninjask,Reverse Holofoil,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Ninjask - 017/132,017/132,Uncommon,Grass,Ninjask,Normal,0.02,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Dhelmise,018/132,Common,Grass,Dhelmise,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Dhelmise,018/132,Common,Grass,Dhelmise,Reverse Holofoil,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Vulpix - 019/132,019/132,Common,Fire,Vulpix,Normal,0.08,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Vulpix - 019/132,019/132,Common,Fire,Vulpix,Reverse Holofoil,0.26,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Ninetales,020/132,Uncommon,Fire,Ninetales,Normal,0.12,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Ninetales,020/132,Uncommon,Fire,Ninetales,Reverse Holofoil,0.24,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Numel,021/132,Common,Fire,Numel,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Numel,021/132,Common,Fire,Numel,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
