cardName,cardNumber,cardRarity,cardSubType,cleanName,finishType,marketPrice,setEra,setName,source_file,stage,supertype,patternType,tagName,isLegendary,isMythical,isStarter,isEeveelution,isMascot,isWaifuTrainer
Bulbasaur - 001/132,001/132,Common,Grass,Bulbasaur,Reverse Holofoil,0.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Bulbasaur,False,False,True,False,False,False
Bulbasaur - 001/132,001/132,Common,Grass,Bulbasaur,Normal,0.21,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Bulbasaur,False,False,True,False,False,False
Ivysaur - 002/132,002/132,Common,Grass,Ivysaur,Reverse Holofoil,0.31,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Ivysaur,False,False,True,False,False,False
Ivysaur - 002/132,002/132,Common,Grass,Ivysaur,Normal,0.25,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Ivysaur,False,False,True,False,False,False
Mega Venusaur ex - 003/132,003/132,Double Rare,Grass,Mega Venusaur,Holofoil,0.95,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Venusaur,False,False,True,False,False,False
Exeggcute,004/132,Common,Grass,Exeggcute,Reverse Holofoil,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Exeggcute,False,False,False,False,False,False
Exeggcute,004/132,Common,Grass,Exeggcute,Normal,0.05,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Exeggcute,False,False,False,False,False,False
Exeggutor - 005/132,005/132,Uncommon,Grass,Exeggutor,Normal,0.05,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Exeggutor,False,False,False,False,False,False
Exeggutor - 005/132,005/132,Uncommon,Grass,Exeggutor,Reverse Holofoil,0.22,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Exeggutor,False,False,False,False,False,False
Tangela,006/132,Common,Grass,Tangela,Reverse Holofoil,0.14,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Tangela,False,False,False,False,False,False
Tangela,006/132,Common,Grass,Tangela,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Tangela,False,False,False,False,False,False
Tangrowth,007/132,Uncommon,Grass,Tangrowth,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Tangrowth,False,False,False,False,False,False
Tangrowth,007/132,Uncommon,Grass,Tangrowth,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Tangrowth,False,False,False,False,False,False
Chikorita,008/132,Common,Grass,Chikorita,Normal,0.25,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Chikorita,False,False,True,False,False,False
Chikorita,008/132,Common,Grass,Chikorita,Reverse Holofoil,0.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Chikorita,False,False,True,False,False,False
Bayleef,009/132,Common,Grass,Bayleef,Normal,0.21,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Bayleef,False,False,True,False,False,False
Bayleef,009/132,Common,Grass,Bayleef,Reverse Holofoil,0.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Bayleef,False,False,True,False,False,False
Meganium,010/132,Rare,Grass,Meganium,Holofoil,0.28,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Meganium,False,False,True,False,False,False
Meganium,010/132,Rare,Grass,Meganium,Reverse Holofoil,0.25,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Meganium,False,False,True,False,False,False
Shuckle - 011/132,011/132,Uncommon,Grass,Shuckle,Normal,0.1,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Shuckle,False,False,False,False,False,False
Shuckle - 011/132,011/132,Uncommon,Grass,Shuckle,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Shuckle,False,False,False,False,False,False
Celebi,012/132,Uncommon,Grass,Celebi,Reverse Holofoil,0.23,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Celebi,False,True,False,False,False,False
Celebi,012/132,Uncommon,Grass,Celebi,Normal,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Celebi,False,True,False,False,False,False
Seedot,013/132,Common,Grass,Seedot,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Seedot,False,False,False,False,False,False
Seedot,013/132,Common,Grass,Seedot,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Seedot,False,False,False,False,False,False
Nuzleaf,014/132,Common,Grass,Nuzleaf,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Nuzleaf,False,False,False,False,False,False
Nuzleaf,014/132,Common,Grass,Nuzleaf,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Nuzleaf,False,False,False,False,False,False
