cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Mega Evolution Elite Trainer Box [Mega Gardevoir],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,95.37
Mega Evolution Pokemon Center Elite Trainer Box (Exclusive) [Mega Lucario],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,245.08
Mega Evolution Booster Box,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,310.18
Mega Evolution Enhanced Booster Box,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,290.46
Mega Evolution Half Booster Box,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,
Mega Evolution Booster Pack,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,6.42
Mega Evolution Sleeved Booster Pack,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,8.99
Mega Evolution Sleeved Booster Pack Art Bundle [Set of 4],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,39.62
Mega Evolution 3 Pack Blister [Golduck],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,28.23
Mega Evolution 3 Pack Blister [Psyduck],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,34.72
Mega Evolution Single Pack Blister [Drifloon],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,11.59
Mega Evolution Single Pack Blister [Drifblim,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,10.97
Mega Evolution Premium Checklane Blister [Tyranitar],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,26.69
Mega Evolution Premium Checklane Blister [Meowscarada],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,20.81
Mega Evolution Booster Bundle,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,56.04
Mega Evolution Build & Battle Box,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,51.97
Mega Evolution Elite Trainer Box Case,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,855.32
Mega Evolution Booster Bundle Case,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,1096.62
Mega Evolution Booster Box Case,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,1607.86
Mega Evolution Build & Battle Box Display,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,466.81
Mega Evolution Enhanced Booster Case,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,1623.03
Mega Evolution Elite Trainer Box [Mega Lucario],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,93.63
Mega Evolution Pokemon Center Elite Trainer Box (Exclusive) [Mega Gardevoir],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,216.29
Mega Heroes Mini Tin Display,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,201.56
Mega Heroes Mini Tin [Mega Gardevoir],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,17.45
Mega Heroes Mini Tin [Mega Kangaskhan],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,16.7
Mega Heroes Mini Tin [Mega Latias],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,18.03
Mega Heroes Mini Tin [Mega Lucario],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,18.48
Mega Heroes Mini Tin [Mega Venusaur],,,Mega Evolution,Mega Evolution,unknown,,,,Normal,18.48
Mega Evolution Sleeved Booster Case,,,Mega Evolution,Mega Evolution,unknown,,,,Normal,1102.73
Bulbasaur - 001/132,Bulbasaur,001/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.29
Bulbasaur - 001/132,Bulbasaur,001/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.21
Ivysaur - 002/132,Ivysaur,002/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.31
Ivysaur - 002/132,Ivysaur,002/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 1,Common,Normal,0.25
Mega Venusaur ex - 003/132,Mega Venusaur,003/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 2,Double Rare,Holofoil,0.95
Exeggcute,Exeggcute,004/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.11
Exeggcute,Exeggcute,004/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.05
Exeggutor - 005/132,Exeggutor,005/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 1,Uncommon,Normal,0.05
Exeggutor - 005/132,Exeggutor,005/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.22
Tangela,Tangela,006/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.14
Tangela,Tangela,006/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.04
Tangrowth,Tangrowth,007/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 1,Uncommon,Normal,0.04
Tangrowth,Tangrowth,007/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.17
Chikorita,Chikorita,008/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.25
Chikorita,Chikorita,008/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.29
Bayleef,Bayleef,009/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 1,Common,Normal,0.21
Bayleef,Bayleef,009/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.29
Meganium,Meganium,010/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 2,Rare,Holofoil,0.28
Meganium,Meganium,010/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 2,Rare,Reverse Holofoil,0.25
Shuckle - 011/132,Shuckle,011/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Uncommon,Normal,0.1
Shuckle - 011/132,Shuckle,011/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Uncommon,Reverse Holofoil,0.18
Celebi,Celebi,012/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Uncommon,Reverse Holofoil,0.23
Celebi,Celebi,012/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Uncommon,Normal,0.13
Seedot,Seedot,013/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.19
Seedot,Seedot,013/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.07
Nuzleaf,Nuzleaf,014/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.17
Nuzleaf,Nuzleaf,014/132,Mega Evolution,Mega Evolution,Pokemon,Grass,Stage 1,Common,Normal,0.06
