cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Phantasmal Flames Pokemon Center Elite Trainer Box (Exclusive),,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,315.44
Phantasmal Flames Elite Trainer Box,,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,117.46
Phantasmal Flames Booster Box,,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,400.58
Phantasmal Flames Booster Pack,,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,9.97
Phantasmal Flames Sleeved Booster Pack,,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,11.47
Phantasmal Flames Premium Checklane Blister [Hydrapple],,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,23.19
Phantasmal Flames Premium Checklane Blister [Blaziken],,,Phantasmal Flames,Mega Evolution,unknown,,,,,
Phantasmal Flames Single Pack Blister [Whimsicott],,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,10.38
Phantasmal Flames Single Pack Blister [Cottonee],,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,10.09
Phantasmal Flames 3 Pack Blister [Sneasel],,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,32.54
Phantasmal Flames 3 Pack Blister [Weavile],,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,32.12
Phantasmal Flames Booster Bundle,,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,63.77
Phantasmal Flames Booster Bundle Case,,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,1166.06
Phantasmal Flames Build & Battle Box Display,,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,356.84
Phantasmal Flames Elite Trainer Box Case,,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,1150.19
Phantasmal Flames Booster Pack Art Bundle [Set of 4],,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,43.64
Phantasmal Flames Booster Box Case,,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,2388.15
Phantasmal Flames Sleeved Booster Case,,,Phantasmal Flames,Mega Evolution,unknown,,,,Normal,1113.06
Mega Diancie ex,Mega Diancie,041/094,Phantasmal Flames,Mega Evolution,Pokemon,Psychic,Basic,Double Rare,Holofoil,0.68
Mega Gengar ex,Mega Gengar,056/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Stage 2,Double Rare,Holofoil,2.58
Alcremie,Alcremie,044/094,Phantasmal Flames,Mega Evolution,Pokemon,Psychic,Stage 1,Uncommon,Normal,0.15
Alcremie,Alcremie,044/094,Phantasmal Flames,Mega Evolution,Pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,0.19
Eternatus,Eternatus,069/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Uncommon,Normal,0.14
Eternatus,Eternatus,069/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Uncommon,Reverse Holofoil,0.24
Haunter - 055/094,Haunter,055/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Stage 1,Uncommon,Normal,0.11
Haunter - 055/094,Haunter,055/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Stage 1,Uncommon,Reverse Holofoil,0.21
Toxtricity,Toxtricity,068/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Stage 1,Rare,Holofoil,0.1
Toxtricity,Toxtricity,068/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Stage 1,Rare,Reverse Holofoil,0.14
Toxel,Toxel,067/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Common,Normal,0.15
Toxel,Toxel,067/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Common,Reverse Holofoil,0.21
Sableye,Sableye,059/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Common,Normal,0.13
Sableye,Sableye,059/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Common,Reverse Holofoil,0.17
Seviper,Seviper,062/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Uncommon,Reverse Holofoil,0.21
Seviper,Seviper,062/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Uncommon,Normal,0.11
Dawn,Dawn,087/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Supporter,,Uncommon,Normal,0.15
Dawn,Dawn,087/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Supporter,,Uncommon,Reverse Holofoil,0.32
Grimsley's Move,Grimsley,090/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Supporter,,Uncommon,Normal,0.14
Grimsley's Move,Grimsley,090/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Supporter,,Uncommon,Reverse Holofoil,0.2
Punk Helmet,,092/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Pokemon Tool,,Uncommon,Normal,0.12
Punk Helmet,,092/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Pokemon Tool,,Uncommon,Reverse Holofoil,0.16
Gastly,Gastly,054/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Common,Reverse Holofoil,0.22
Gastly,Gastly,054/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Common,Normal,0.15
Absol,Absol,063/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Common,Reverse Holofoil,0.15
Absol,Absol,063/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Common,Normal,0.12
Aipom,Aipom,078/094,Phantasmal Flames,Mega Evolution,Pokemon,Colorless,Basic,Common,Normal,0.1
Aipom,Aipom,078/094,Phantasmal Flames,Mega Evolution,Pokemon,Colorless,Basic,Common,Reverse Holofoil,0.15
Ambipom - 079/094,Ambipom,079/094,Phantasmal Flames,Mega Evolution,Pokemon,Colorless,Stage 1,Rare,Reverse Holofoil,0.21
Ambipom - 079/094,Ambipom,079/094,Phantasmal Flames,Mega Evolution,Pokemon,Colorless,Stage 1,Rare,Holofoil,0.06
Ambipom - 107/094,Ambipom,107/094,Phantasmal Flames,Mega Evolution,Pokemon,Colorless,Stage 1,Illustration Rare,Holofoil,2.05
Archaludon,Archaludon,075/094,Phantasmal Flames,Mega Evolution,Pokemon,Metal,Stage 1,Uncommon,Normal,0.07
Archaludon,Archaludon,075/094,Phantasmal Flames,Mega Evolution,Pokemon,Metal,Stage 1,Uncommon,Reverse Holofoil,0.21
Battle Cage - 085/094,,085/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Stadium,,Uncommon,Normal,0.14
Battle Cage - 085/094,,085/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Stadium,,Uncommon,Reverse Holofoil,0.22
Battle Cage - 116/094,,116/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Stadium,,Ultra Rare,Holofoil,2.04
Blowtorch - 086/094,,086/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Item,,Uncommon,Normal,0.1
Blowtorch - 086/094,,086/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Item,,Uncommon,Reverse Holofoil,0.13
Blowtorch - 117/094,,117/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Item,,Ultra Rare,Holofoil,0.84
Boltund,Boltund,031/094,Phantasmal Flames,Mega Evolution,Pokemon,Lightning,Stage 1,Common,Reverse Holofoil,0.16
Boltund,Boltund,031/094,Phantasmal Flames,Mega Evolution,Pokemon,Lightning,Stage 1,Common,Normal,0.11
Brambleghast,Brambleghast,047/094,Phantasmal Flames,Mega Evolution,Pokemon,Psychic,Stage 1,Uncommon,Normal,0.1
Brambleghast,Brambleghast,047/094,Phantasmal Flames,Mega Evolution,Pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,0.19
Bramblin,Bramblin,046/094,Phantasmal Flames,Mega Evolution,Pokemon,Psychic,Basic,Common,Normal,0.09
Bramblin,Bramblin,046/094,Phantasmal Flames,Mega Evolution,Pokemon,Psychic,Basic,Common,Reverse Holofoil,0.16
Bronzong,Bronzong,072/094,Phantasmal Flames,Mega Evolution,Pokemon,Metal,Stage 1,Uncommon,Normal,0.09
Bronzong,Bronzong,072/094,Phantasmal Flames,Mega Evolution,Pokemon,Metal,Stage 1,Uncommon,Reverse Holofoil,0.19
Bronzor,Bronzor,071/094,Phantasmal Flames,Mega Evolution,Pokemon,Metal,Basic,Common,Reverse Holofoil,0.14
Bronzor,Bronzor,071/094,Phantasmal Flames,Mega Evolution,Pokemon,Metal,Basic,Common,Normal,0.1
Buneary,Buneary,083/094,Phantasmal Flames,Mega Evolution,Pokemon,Colorless,Basic,Common,Reverse Holofoil,0.2
Buneary,Buneary,083/094,Phantasmal Flames,Mega Evolution,Pokemon,Colorless,Basic,Common,Normal,0.13
Carvanha,Carvanha,060/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Common,Normal,0.19
Carvanha,Carvanha,060/094,Phantasmal Flames,Mega Evolution,Pokemon,Darkness,Basic,Common,Reverse Holofoil,0.2
Ceruledge,Ceruledge,020/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,0.19
Ceruledge,Ceruledge,020/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Stage 1,Uncommon,Normal,0.15
Charcadet,Charcadet,019/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.2
Charcadet,Charcadet,019/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Basic,Common,Normal,0.13
Charmander,Charmander,011/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.26
Charmander,Charmander,011/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Basic,Common,Normal,0.18
Charmeleon,Charmeleon,012/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Stage 1,Common,Normal,0.16
Charmeleon,Charmeleon,012/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Stage 1,Common,Reverse Holofoil,0.25
Cresselia,Cresselia,039/094,Phantasmal Flames,Mega Evolution,Pokemon,Psychic,Basic,Uncommon,Normal,0.11
Cresselia,Cresselia,039/094,Phantasmal Flames,Mega Evolution,Pokemon,Psychic,Basic,Uncommon,Reverse Holofoil,0.18
Darmanitan,Darmanitan,016/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Stage 1,Uncommon,Normal,0.05
Darmanitan,Darmanitan,016/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,0.18
Darumaka,Darumaka,015/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Basic,Common,Normal,0.05
Darumaka,Darumaka,015/094,Phantasmal Flames,Mega Evolution,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.11
Dawn - 118/094,Dawn,118/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Supporter,,Ultra Rare,Holofoil,7.5
Dawn - 129/094,Dawn,129/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Supporter,,Special Illustration Rare,Holofoil,31.03
Dewgong - 022/094,Dewgong,022/094,Phantasmal Flames,Mega Evolution,Pokemon,Water,Stage 1,Common,Normal,0.09
Dewgong - 022/094,Dewgong,022/094,Phantasmal Flames,Mega Evolution,Pokemon,Water,Stage 1,Common,Reverse Holofoil,0.2
Dewgong - 097/094,Dewgong,097/094,Phantasmal Flames,Mega Evolution,Pokemon,Water,Stage 1,Illustration Rare,Holofoil,4.03
Dizzying Valley,,088/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Stadium,,Uncommon,Normal,0.09
Dizzying Valley,,088/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Stadium,,Uncommon,Reverse Holofoil,0.09
Duraludon,Duraludon,074/094,Phantasmal Flames,Mega Evolution,Pokemon,Metal,Basic,Common,Reverse Holofoil,0.19
Duraludon,Duraludon,074/094,Phantasmal Flames,Mega Evolution,Pokemon,Metal,Basic,Common,Normal,0.1
Empoleon ex - 070/094,Empoleon,070/094,Phantasmal Flames,Mega Evolution,Pokemon,Metal,Stage 2,Double Rare,Holofoil,0.57
Empoleon ex - 114/094,Empoleon,114/094,Phantasmal Flames,Mega Evolution,Pokemon,Metal,Stage 2,Ultra Rare,Holofoil,2.07
Firebreather - 089/094,Firebreather,089/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Supporter,,Uncommon,Reverse Holofoil,0.15
Firebreather - 089/094,Firebreather,089/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Supporter,,Uncommon,Normal,0.19
Firebreather - 119/094,Firebreather,119/094,Phantasmal Flames,Mega Evolution,Trainer,Trainer - Supporter,,Ultra Rare,Holofoil,1.19
