cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Mega Evolution: Ascended Heroes Collection - Erika,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,25.46
Mega Evolution: Ascended Heroes Collection - Larry,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,24.61
Mega Evolution: Ascended Heroes Tech Sticker Collection - Charmander,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,37.01
Mega Evolution: Ascended Heroes Tech Sticker Collection - Gastly,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,38.14
Ascended Heroes Elite Trainer Box,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,144.2
Ascended Heroes Pokemon Center Elite Trainer Box (Exclusive),,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,430.51
Ascended Heroes Mini Tins 5-Pack,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,130.61
Ascended Heroes Mini Tin [Pikachu & Tepig],,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,25.74
Ascended Heroes Mini Tin [Riolu & Darumaka],,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,24.88
Ascended Heroes Mini Tin [Zorua & Cramorant],,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,25.03
Ascended Heroes Mini Tin [Togepi & Totodile],,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,25.06
Ascended Heroes Mini Tin [Clefairy & Chikorita],,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,25.47
Premium Poster Collection: Mega Lucario,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,115.44
Premium Poster Collection: Mega Gardevoir,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,112.0
Ascended Heroes Booster Bundle,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,77.39
Ascended Heroes First Partners Deluxe Pin Collection,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,57.14
Ascended Heroes First Partners Deluxe Pin Collection Case,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,340.3
Ascended Heroes Booster Pack,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,12.32
Ascended Heroes Mega Meganium ex Box,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,53.49
Ascended Heroes Mega Emboar ex Box,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,56.33
Ascended Heroes Mega Feraligatr ex Box,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,54.68
Ascended Heroes Mega ex Boxes Case,,,Ascended Heroes,Mega Evolution,unknown,,,,Normal,400.34
Erika's Oddish,Oddish,001/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.09
Erika's Gloom,Gloom,002/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 1,Uncommon,Normal,0.12
Erika's Vileplume ex,Vileplume,003/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 2,Double Rare,Holofoil,0.98
Erika's Bellsprout,Bellsprout,004/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.06
Erika's Weepinbell,Weepinbell,005/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 1,Uncommon,Normal,0.12
Erika's Victreebel,Victreebel,006/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 2,Rare,Holofoil,0.12
Erika's Tangela - 007/217,Tangela,007/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.1
Chikorita,Chikorita,008/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.16
Bayleef,Bayleef,009/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 1,Uncommon,Normal,0.24
Mega Meganium ex - 010/217,Mega Meganium,010/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 2,Double Rare,Holofoil,3.55
Wurmple,Wurmple,011/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.06
Silcoon,Silcoon,012/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 1,Common,Normal,0.06
Beautifly - 013/217,Beautifly,013/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 2,Uncommon,Normal,0.08
Cascoon,Cascoon,014/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 1,Common,Normal,0.1
Dustox - 015/217,Dustox,015/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 2,Uncommon,Normal,0.15
Budew - 016/217,Budew,016/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.05
Grubbin,Grubbin,017/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.07
Team Rocket's Tarountula,Tarountula,018/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Basic,Common,Normal,0.07
Team Rocket's Spidops,Spidops,019/217,Ascended Heroes,Mega Evolution,Pokemon,Grass,Stage 1,Rare,Holofoil,0.1
Charmander,Charmander,020/217,Ascended Heroes,Mega Evolution,Pokemon,Fire,Basic,Common,Normal,0.08
