cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Sprigatito,Sprigatito,013/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.22
Sprigatito,Sprigatito,013/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.11
Fuecoco,Fuecoco,036/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.13
Fuecoco,Fuecoco,036/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.1
Quaxly,Quaxly,052/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.05
Quaxly,Quaxly,052/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.21
Miraidon ex - 081/198,Miraidon,081/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Lightning,Basic,Double Rare,Holofoil,0.59
Koraidon ex - 125/198,Koraidon,125/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Fighting,Basic,Double Rare,Holofoil,0.59
Professor's Research - 189/198,Professor's Research,189/198,Scarlet & Violet Base,Scarlet & Violet,Trainer,Supporter,,Rare,Reverse Holofoil,0.23
Professor's Research - 189/198,Professor's Research,189/198,Scarlet & Violet Base,Scarlet & Violet,Trainer,Supporter,,Rare,Holofoil,0.18
Professor's Research - 190/198,Professor's Research,190/198,Scarlet & Violet Base,Scarlet & Violet,Trainer,Supporter,,Rare,Holofoil,0.15
Professor's Research - 190/198,Professor's Research,190/198,Scarlet & Violet Base,Scarlet & Violet,Trainer,Supporter,,Rare,Reverse Holofoil,0.24
Rock Chestplate,,192/198,Scarlet & Violet Base,Scarlet & Violet,Trainer,Tool,,Uncommon,Normal,0.05
Rock Chestplate,,192/198,Scarlet & Violet Base,Scarlet & Violet,Trainer,Tool,,Uncommon,Reverse Holofoil,0.2
Scarlet & Violet Booster Pack,,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,8.95
Scarlet & Violet Booster Box,,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,258.81
Scarlet & Violet Booster Box Case,,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,1480.85
Scarlet & Violet Build & Battle Box,,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,38.93
Scarlet & Violet Build & Battle Box Display,,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,
Scarlet & Violet Build & Battle Stadium,,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,84.82
Scarlet & Violet Booster Bundle,,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,85.23
Scarlet & Violet Sleeved Booster Pack,,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,8.57
Scarlet & Violet Sleeved Booster Pack Art Bundle [Set of 4],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,40.87
Scarlet & Violet Sleeved Booster Pack Bundle [Set of 8],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,78.86
Scarlet & Violet Elite Trainer Box [Koraidon],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,114.96
Scarlet & Violet Elite Trainer Box [Miraidon],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,135.41
Scarlet & Violet Pokemon Center Elite Trainer Box (Exclusive) [Miraidon],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,301.45
Scarlet & Violet Pokemon Center Elite Trainer Box (Exclusive) [Koraidon],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,290.34
Scarlet & Violet Booster Pack Art Bundle [Set of 4],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,37.9
Scarlet & Violet 3 Pack Blister [Arcanine],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,28.71
Scarlet & Violet 3 Pack Blister [Dondozo],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,24.94
Scarlet & Violet 3 Pack Blister [Set of 2],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,50.86
Scarlet & Violet Single Pack Blister [Spidops],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,9.35
Scarlet & Violet Single Pack Blister [Espathra],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,11.06
Scarlet & Violet Single Pack Blister [Set of 2],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,19.06
Scarlet & Violet Premium Checklane Blister [Gengar],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,,
Scarlet & Violet Premium Checklane Blister [Machamp],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,Normal,
Scarlet & Violet Premium Checklane Blister [Set of 2],,,Scarlet & Violet Base,Scarlet & Violet,unknown,,,,,
Iron Treads ex - 143/198,Iron Treads,143/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Metal,Basic,Double Rare,Holofoil,0.55
Lechonk - 155/198,Lechonk,155/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Colorless,Basic,Common,Normal,0.12
Lechonk - 155/198,Lechonk,155/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Colorless,Basic,Common,Reverse Holofoil,0.21
Miraidon ex - 244/198,Miraidon,244/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Lightning,Basic,Special Illustration Rare,Holofoil,26.37
Maschiff - 136/198,Maschiff,136/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Darkness,Basic,Common,Reverse Holofoil,0.19
Maschiff - 136/198,Maschiff,136/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Darkness,Basic,Common,Normal,0.06
Mabosstiff - 137/198,Mabosstiff,137/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Darkness,Stage 1,Uncommon,Reverse Holofoil,0.17
Mabosstiff - 137/198,Mabosstiff,137/198,Scarlet & Violet Base,Scarlet & Violet,Pokemon,Darkness,Stage 1,Uncommon,Normal,0.08
