cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Paldea Evolved Pokemon Center Elite Trainer Box (Exclusive),,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,542.78
Paldea Evolved Elite Trainer Box,,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,185.14
Paldea Evolved Booster Box,,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,448.99
Paldea Evolved Booster Pack,,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,12.79
Paldea Evolved 3 Pack Blister [Tinkatink],,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,32.06
Paldea Evolved 3 Pack Blister [Varoom],,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,36.74
Paldea Evolved Single Pack Blister [Smoliv],,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,10.59
Paldea Evolved Single Pack Blister [Growlithe],,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,11.71
Paldea Evolved Booster Box Case,,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,2619.13
Paldea Evolved 3 Pack Blister [Set of 2],,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,65.06
Paldea Evolved Elite Trainer Box Case,,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,1558.48
Paldea Evolved Booster Pack Art Bundle [Set of 5],,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,60.09
Paldea Evolved Booster Bundle,,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,105.82
Paldea Evolved Sleeved Booster Pack,,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,14.16
Paldea Evolved Build & Battle Box,,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,56.65
Paldea Evolved Build & Battle Box Display,,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,511.49
Paldea Evolved Build & Battle Stadium,,,Paldea Evolved,Scarlet & Violet,unknown,,,,Normal,129.04
Hoppip,Hoppip,001/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.14
Hoppip,Hoppip,001/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.15
Skiploom,Skiploom,002/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.09
Skiploom,Skiploom,002/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.2
Jumpluff,Jumpluff,003/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Stage 2,Rare,Reverse Holofoil,0.2
Jumpluff,Jumpluff,003/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Stage 2,Rare,Holofoil,0.21
Pineco,Pineco,004/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.06
Pineco,Pineco,004/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.11
Forretress ex - 005/193,Forretress,005/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Stage 1,Double Rare,Holofoil,0.8
Heracross - 006/193,Heracross,006/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Uncommon,Reverse Holofoil,0.19
Heracross - 006/193,Heracross,006/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Uncommon,Normal,0.1
Tropius - 007/193,Tropius,007/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.12
Tropius - 007/193,Tropius,007/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.08
Combee,Combee,008/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.1
Combee,Combee,008/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.12
Vespiquen,Vespiquen,009/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.07
Vespiquen,Vespiquen,009/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.17
Snover,Snover,010/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.06
Snover,Snover,010/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.12
Abomasnow,Abomasnow,011/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Stage 1,Rare,Holofoil,0.08
Abomasnow,Abomasnow,011/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Stage 1,Rare,Reverse Holofoil,0.15
Sprigatito - 012/193,Sprigatito,012/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.19
Sprigatito - 012/193,Sprigatito,012/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.17
Sprigatito - 013/193,Sprigatito,013/193,Paldea Evolved,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.26
