cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Obsidian Flames Booster Pack,,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,11.28
Obsidian Flames Booster Box,,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,374.15
Obsidian Flames Booster Box Case,,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,1860.28
Obsidian Flames 3 Pack Blister [Eevee],,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,31.69
Obsidian Flames 3 Pack Blister [Houndstone],,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,29.91
Obsidian Flames 3 Pack Blister [Set of 2],,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,45.27
Obsidian Flames Single Pack Blister [Pawmi],,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,9.97
Obsidian Flames Booster Bundle,,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,83.24
Obsidian Flames Elite Trainer Box,,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,270.27
Obsidian Flames Elite Trainer Box Case,,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,1796.4
Obsidian Flames Pokemon Center Elite Trainer Box (Exclusive),,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,660.08
Obsidian Flames Build & Battle Stadium,,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,114.96
Obsidian Flames Build & Battle Box,,,Obsidian Flames,Scarlet & Violet,unknown,,,,Normal,47.21
Dratini,Dratini,157/197,Obsidian Flames,Scarlet & Violet,Pokemon,Dragon,Basic,Common,Reverse Holofoil,0.23
Dratini,Dratini,157/197,Obsidian Flames,Scarlet & Violet,Pokemon,Dragon,Basic,Common,Normal,0.22
Oddish,Oddish,001/197,Obsidian Flames,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.14
Oddish,Oddish,001/197,Obsidian Flames,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.14
Dragonair,Dragonair,158/197,Obsidian Flames,Scarlet & Violet,Pokemon,Dragon,Stage 1,Uncommon,Normal,0.17
