cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Paradox Rift Pokemon Center Elite Trainer Box (Exclusive) [Iron Valiant],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,166.36
Paradox Rift Pokemon Center Elite Trainer Box (Exclusive) [Roaring Moon],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,188.59
Paradox Rift Elite Trainer Box [Iron Valiant],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,117.74
Paradox Rift Elite Trainer Box [Roaring Moon],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,122.99
Paradox Rift Booster Bundle,,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,71.45
Paradox Rift Booster Box,,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,274.44
Paradox Rift Booster Pack,,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,8.57
Paradox Rift Booster Box Case,,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,1525.92
Paradox Rift Booster Pack Art Bundle [Set of 4],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,32.75
Paradox Rift Elite Trainer Boxes [Set of 2],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,226.86
Paradox Rift 3 Pack Blister [Arctibax],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,25.86
Paradox Rift 3 Pack Blister [Cetitan],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,26.57
Paradox Rift 3 Pack Blister [Set of 2],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,47.77
Paradox Rift Elite Trainer Box Case,,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,1299.0
Paradox Rift Build & Battle Box,,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,35.86
Paradox Rift Build & Battle Box Display,,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,360.0
Paradox Rift Build & Battle Stadium,,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,77.3
Paradox Rift Build & Battle Stadium Case,,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,
Paradox Rift Single Pack Blister [Sinistea],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,8.58
Paradox Rift Single Pack Blister [Pineco],,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,8.86
Paradox Rift Sleeved Booster Pack,,,Paradox Rift,Scarlet & Violet,unknown,,,,Normal,9.24
Surskit,Surskit,001/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.08
Surskit,Surskit,001/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.12
Masquerain,Masquerain,002/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.15
Masquerain,Masquerain,002/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.1
Froslass ex - 003/182,Froslass,003/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Stage 1,Double Rare,Holofoil,0.63
Pansage,Pansage,004/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.14
Pansage,Pansage,004/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.08
Simisage,Simisage,005/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.19
Simisage,Simisage,005/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.07
Dwebble,Dwebble,006/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.06
Dwebble,Dwebble,006/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.1
Crustle - 007/182,Crustle,007/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.14
Crustle - 007/182,Crustle,007/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.1
Bounsweet,Bounsweet,008/182,Paradox Rift,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.13
