cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Temporal Forces Booster Pack,,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,8.43
Temporal Forces Elite Trainer Box [Walking Wake],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,126.57
Temporal Forces Elite Trainer Box [Iron Leaves ex],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,106.39
Temporal Forces Elite Trainer Box [Set of 2],,,Temporal Forces,Scarlet & Violet,unknown,,,,,
Temporal Forces Pokemon Center Elite Trainer Box (Exclusive) [Iron Leaves],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,189.35
Temporal Forces Booster Box,,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,295.39
Temporal Forces 3 Pack Blister [Cyclizar],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,23.24
Temporal Forces 3 Pack Blister [Cleffa],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,25.01
Temporal Forces Single Pack Blister [Carvanha],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,9.04
Temporal Forces Single Pack Blister [Bellibolt],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,9.36
Temporal Forces Build & Battle Box Display,,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,356.65
Temporal Forces Build & Battle Box,,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,41.01
Temporal Forces Booster Box Case,,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,1747.17
Temporal Forces Elite Trainer Box Case,,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,900.0
Temporal Forces Pokemon Center Elite Trainer Box (Exclusive) [Walking Wake],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,191.62
Temporal Forces Booster Pack Art Bundle [Set of 4],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,29.7
Temporal Forces Sleeved Booster Pack,,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,8.85
Temporal Forces Sleeved Booster Pack Art Bundle [Set of 4],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,29.25
Temporal Forces Sleeved Booster Pack Bundle [Set of 8],,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,
Temporal Forces Booster Bundle,,,Temporal Forces,Scarlet & Violet,unknown,,,,Normal,79.41
Scyther,Scyther,001/162,Temporal Forces,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.11
Scyther,Scyther,001/162,Temporal Forces,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.18
Pineco,Pineco,002/162,Temporal Forces,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.08
Pineco,Pineco,002/162,Temporal Forces,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.16
Seedot,Seedot,003/162,Temporal Forces,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.27
Seedot,Seedot,003/162,Temporal Forces,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.21
Nuzleaf,Nuzleaf,004/162,Temporal Forces,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.13
