cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Twilight Masquerade Booster Pack,,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,7.21
Twilight Masquerade Pokemon Center Elite Trainer Box (Exclusive),,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,179.56
Twilight Masquerade Elite Trainer Box,,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,90.2
Twilight Masquerade Booster Box,,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,339.51
Twilight Masquerade Booster Bundle,,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,63.03
Twilight Masquerade Sleeved Booster Pack,,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,9.22
Twilight Masquerade 3 Pack Blister [Snorlax],,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,37.72
Twilight Masquerade 3 Pack Blister [Revavroom],,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,29.35
Twilight Masquerade Single Pack Blister [Pupitar],,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,11.57
Twilight Masquerade Single Pack Blister [Toxel],,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,11.06
Twilight Masquerade Premium Checklane Blister [Porygon],,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,20.93
Twilight Masquerade Premium Checklane Blister [Horsea],,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,25.0
Twilight Masquerade Booster Box Case,,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,1920.52
Twilight Masquerade Elite Trainer Box Case,,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,706.35
Twilight Masquerade Build & Battle Box,,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,51.69
Twilight Masquerade Booster Pack Art Bundle [Set of 4],,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,31.1
Twilight Masquerade Build & Battle Box Display,,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,366.73
Twilight Masquerade Pokemon Center Elite Trainer Box (Exclusive) Case,,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,693.79
Twilight Masquerade Sleeved Booster Pack Art Bundle [Set of 4],,,Twilight Masquerade,Scarlet & Violet,unknown,,,,Normal,38.57
Tangela,Tangela,001/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.13
Tangela,Tangela,001/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.06
Tangrowth,Tangrowth,002/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.12
Tangrowth,Tangrowth,002/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.12
Pinsir - 003/167,Pinsir,003/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.08
Pinsir - 003/167,Pinsir,003/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.12
Spinarak,Spinarak,004/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.04
Spinarak,Spinarak,004/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.17
Ariados,Ariados,005/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.12
Ariados,Ariados,005/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.05
Sunkern,Sunkern,006/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.03
Sunkern,Sunkern,006/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.13
Sunflora - 007/167,Sunflora,007/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.13
Sunflora - 007/167,Sunflora,007/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.07
Heracross,Heracross,008/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Uncommon,Reverse Holofoil,0.13
Heracross,Heracross,008/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Uncommon,Normal,0.04
Volbeat,Volbeat,009/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.08
Volbeat,Volbeat,009/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.14
Illumise,Illumise,010/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.12
Illumise,Illumise,010/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.14
Leafeon,Leafeon,011/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.17
Leafeon,Leafeon,011/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.31
Phantump,Phantump,012/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.13
Phantump,Phantump,012/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.08
Trevenant,Trevenant,013/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.12
Trevenant,Trevenant,013/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.16
Grookey,Grookey,014/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.26
Grookey,Grookey,014/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.14
Thwackey,Thwackey,015/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.22
Thwackey,Thwackey,015/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.27
Rillaboom,Rillaboom,016/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 2,Uncommon,Normal,0.15
Rillaboom,Rillaboom,016/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 2,Uncommon,Reverse Holofoil,0.2
Applin - 017/167,Applin,017/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.17
Applin - 017/167,Applin,017/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.08
Dipplin - 018/167,Dipplin,018/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.15
Dipplin - 018/167,Dipplin,018/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.24
Iron Leaves,Iron Leaves,019/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Rare,Holofoil,0.09
Iron Leaves,Iron Leaves,019/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Rare,Reverse Holofoil,0.25
Poltchageist - 020/167,Poltchageist,020/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.16
Poltchageist - 020/167,Poltchageist,020/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.23
Poltchageist - 021/167,Poltchageist,021/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.17
Poltchageist - 021/167,Poltchageist,021/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.13
Sinistcha,Sinistcha,022/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Rare,Holofoil,0.12
Sinistcha,Sinistcha,022/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Rare,Reverse Holofoil,0.23
Sinistcha ex - 023/167,Sinistcha,023/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Stage 1,Double Rare,Holofoil,0.62
Teal Mask Ogerpon,Teal Mask Ogerpon,024/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Rare,Reverse Holofoil,0.17
Teal Mask Ogerpon,Teal Mask Ogerpon,024/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Rare,Holofoil,0.22
Teal Mask Ogerpon ex - 025/167,Teal Mask Ogerpon,025/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Grass,Basic,Double Rare,Holofoil,5.97
Vulpix,Vulpix,026/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.21
Vulpix,Vulpix,026/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.18
Ninetales,Ninetales,027/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 1,Common,Normal,0.18
Ninetales,Ninetales,027/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 1,Common,Reverse Holofoil,0.24
Slugma,Slugma,028/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.11
Slugma,Slugma,028/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.04
Magcargo ex - 029/167,Magcargo,029/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 1,Double Rare,Holofoil,0.52
Torkoal - 030/167,Torkoal,030/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.19
Torkoal - 030/167,Torkoal,030/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.14
Chimchar,Chimchar,031/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.19
Chimchar,Chimchar,031/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.07
Monferno,Monferno,032/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 1,Common,Normal,0.07
Monferno,Monferno,032/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 1,Common,Reverse Holofoil,0.16
Infernape - 033/167,Infernape,033/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 2,Rare,Reverse Holofoil,0.25
Infernape - 033/167,Infernape,033/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 2,Rare,Holofoil,0.17
Darumaka,Darumaka,034/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.08
Darumaka,Darumaka,034/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.08
Darmanitan,Darmanitan,035/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,0.13
Darmanitan,Darmanitan,035/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 1,Uncommon,Normal,0.08
Litwick,Litwick,036/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.06
Litwick,Litwick,036/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.17
Lampent,Lampent,037/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 1,Common,Reverse Holofoil,0.17
Lampent,Lampent,037/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 1,Common,Normal,0.09
Chandelure,Chandelure,038/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 2,Rare,Holofoil,0.11
Chandelure,Chandelure,038/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Stage 2,Rare,Reverse Holofoil,0.2
Chi-Yu,Chi-Yu,039/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Uncommon,Reverse Holofoil,0.2
Chi-Yu,Chi-Yu,039/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Uncommon,Normal,0.08
Hearthflame Mask Ogerpon ex - 040/167,Hearthflame Mask Ogerpon,040/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Fire,Basic,Double Rare,Holofoil,0.56
Poliwag,Poliwag,041/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.17
Poliwag,Poliwag,041/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.18
Poliwhirl,Poliwhirl,042/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Reverse Holofoil,0.17
Poliwhirl,Poliwhirl,042/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Normal,0.13
Poliwrath,Poliwrath,043/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 2,Uncommon,Normal,0.06
Poliwrath,Poliwrath,043/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 2,Uncommon,Reverse Holofoil,0.14
Goldeen,Goldeen,044/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.12
Goldeen,Goldeen,044/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.23
Seaking,Seaking,045/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Normal,0.07
Seaking,Seaking,045/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Reverse Holofoil,0.13
Jynx,Jynx,046/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.11
Jynx,Jynx,046/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.09
Corphish,Corphish,047/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.03
Corphish,Corphish,047/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.12
Crawdaunt,Crawdaunt,048/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Normal,0.09
Crawdaunt,Crawdaunt,048/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Reverse Holofoil,0.14
Feebas,Feebas,049/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.09
Feebas,Feebas,049/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.17
Milotic,Milotic,050/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Normal,0.09
Milotic,Milotic,050/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,0.21
Snorunt,Snorunt,051/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.26
Snorunt,Snorunt,051/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.12
Glalie,Glalie,052/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,0.19
Glalie,Glalie,052/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Normal,0.08
Froslass - 053/167,Froslass,053/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Rare,Holofoil,0.23
Froslass - 053/167,Froslass,053/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Rare,Reverse Holofoil,0.35
Glaceon,Glaceon,054/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Normal,0.16
Glaceon,Glaceon,054/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,0.39
Phione - 055/167,Phione,055/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.15
Phione - 055/167,Phione,055/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.1
Froakie,Froakie,056/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.22
Froakie,Froakie,056/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.31
Frogadier,Frogadier,057/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Reverse Holofoil,0.19
Frogadier,Frogadier,057/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Normal,0.15
Cramorant - 058/167,Cramorant,058/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Uncommon,Reverse Holofoil,0.17
Cramorant - 058/167,Cramorant,058/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Uncommon,Normal,0.08
Finizen,Finizen,059/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.1
Finizen,Finizen,059/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.22
Palafin,Palafin,060/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Normal,0.11
Palafin,Palafin,060/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,0.19
Palafin ex - 061/167,Palafin,061/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Stage 1,Double Rare,Holofoil,0.67
Iron Bundle,Iron Bundle,062/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Uncommon,Reverse Holofoil,0.24
Iron Bundle,Iron Bundle,062/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Uncommon,Normal,0.07
Walking Wake,Walking Wake,063/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Rare,Reverse Holofoil,0.28
Walking Wake,Walking Wake,063/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Rare,Holofoil,0.14
Wellspring Mask Ogerpon ex - 064/167,Wellspring Mask Ogerpon,064/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Water,Basic,Double Rare,Holofoil,0.79
Zapdos,Zapdos,065/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Rare,Reverse Holofoil,0.28
Zapdos,Zapdos,065/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Rare,Holofoil,0.23
Shinx,Shinx,066/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Normal,0.1
Shinx,Shinx,066/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Reverse Holofoil,0.19
Luxio,Luxio,067/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Stage 1,Common,Reverse Holofoil,0.19
Luxio,Luxio,067/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Stage 1,Common,Normal,0.08
Luxray ex - 068/167,Luxray,068/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Stage 2,Double Rare,Holofoil,0.79
Emolga,Emolga,069/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Reverse Holofoil,0.15
Emolga,Emolga,069/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Normal,0.08
Helioptile,Helioptile,070/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Normal,0.07
Helioptile,Helioptile,070/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Reverse Holofoil,0.12
Heliolisk - 071/167,Heliolisk,071/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Stage 1,Common,Reverse Holofoil,0.11
Heliolisk - 071/167,Heliolisk,071/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Stage 1,Common,Normal,0.05
Morpeko,Morpeko,072/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Uncommon,Normal,0.09
Morpeko,Morpeko,072/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Uncommon,Reverse Holofoil,0.2
Tadbulb,Tadbulb,073/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Reverse Holofoil,0.14
Tadbulb,Tadbulb,073/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Normal,0.04
Bellibolt,Bellibolt,074/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Normal,0.12
Bellibolt,Bellibolt,074/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Reverse Holofoil,0.21
Wattrel - 075/167,Wattrel,075/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Normal,0.08
Wattrel - 075/167,Wattrel,075/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Reverse Holofoil,0.15
Kilowattrel,Kilowattrel,076/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Reverse Holofoil,0.13
Kilowattrel,Kilowattrel,076/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Normal,0.07
Iron Thorns ex - 077/167,Iron Thorns,077/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Lightning,Basic,Double Rare,Holofoil,0.62
Clefairy,Clefairy,078/167,Twilight Masquerade,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Reverse Holofoil,0.21
