cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Stellar Crown Build & Battle Box,,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,41.07
Stellar Crown Booster Pack,,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,8.69
Stellar Crown 3 Pack Blisters [Latias],,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,29.83
Stellar Crown 3 Pack Blisters [Tinkaton],,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,28.71
Stellar Crown Single Pack Blister [Horsea],,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,10.99
Stellar Crown Pokemon Center Elite Trainer Box (Exclusive),,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,161.77
Stellar Crown Single Pack Blister [Porygon2],,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,11.59
Stellar Crown Booster Bundle,,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,65.33
Stellar Crown Elite Trainer Box,,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,128.77
Stellar Crown Sleeved Booster Pack,,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,9.02
Stellar Crown Booster Box,,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,308.03
Stellar Crown Booster Pack Art Bundle [Set of 4],,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,33.61
Stellar Crown Sleeved Booster Pack Art Bundle [Set of 4],,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,37.78
Stellar Crown Pokemon Center Elite Trainer Box (Exclusive) Case,,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,848.24
Stellar Crown Booster Box Case,,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,1576.53
Stellar Crown Build & Battle Box [Set of 10],,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,340.59
Stellar Crown Elite Trainer Box Case,,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,874.99
Stellar Crown Sleeved Booster Master Carton,,,Stellar Crown,Scarlet & Violet,unknown,,,,Normal,1256.28
Venusaur ex,Venusaur,001/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 2,Double Rare,Holofoil,1.27
Ledyba,Ledyba,002/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.13
Ledyba,Ledyba,002/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.19
Ledian - 003/142,Ledian,003/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Rare,Reverse Holofoil,0.22
Ledian - 003/142,Ledian,003/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Rare,Holofoil,0.09
Celebi,Celebi,004/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Uncommon,Normal,0.09
Celebi,Celebi,004/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Uncommon,Reverse Holofoil,0.18
Lileep - 005/142,Lileep,005/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.09
Lileep - 005/142,Lileep,005/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.14
Cradily,Cradily,006/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 2,Rare,Reverse Holofoil,0.16
Cradily,Cradily,006/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 2,Rare,Holofoil,0.13
Carnivine,Carnivine,007/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.13
Carnivine,Carnivine,007/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.06
Mow Rotom,Mow Rotom,008/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.17
Mow Rotom,Mow Rotom,008/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.04
Grubbin,Grubbin,009/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.03
Grubbin,Grubbin,009/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.15
Gossifleur,Gossifleur,010/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.04
Gossifleur,Gossifleur,010/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.13
Eldegoss,Eldegoss,011/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.04
Eldegoss,Eldegoss,011/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.08
Applin,Applin,012/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.17
Applin,Applin,012/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.25
Dipplin,Dipplin,013/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.23
Dipplin,Dipplin,013/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.11
Hydrapple ex - 014/142,Hydrapple,014/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 2,Double Rare,Holofoil,0.79
Nymble,Nymble,015/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.14
Nymble,Nymble,015/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.06
Lokix,Lokix,016/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.11
Lokix,Lokix,016/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.12
Toedscool,Toedscool,017/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.1
Toedscool,Toedscool,017/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.13
Toedscruel,Toedscruel,018/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.14
Toedscruel,Toedscruel,018/142,Stellar Crown,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.06
Ponyta,Ponyta,019/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.16
Ponyta,Ponyta,019/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.09
Rapidash,Rapidash,020/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Stage 1,Uncommon,Normal,0.06
Rapidash,Rapidash,020/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,0.16
Pansear,Pansear,021/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.05
Pansear,Pansear,021/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.16
Reshiram,Reshiram,022/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Uncommon,Reverse Holofoil,0.18
Reshiram,Reshiram,022/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Uncommon,Normal,0.06
Salandit,Salandit,023/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.16
Salandit,Salandit,023/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.07
Salazzle,Salazzle,024/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,0.14
Salazzle,Salazzle,024/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Stage 1,Uncommon,Normal,0.05
Turtonator - 025/142,Turtonator,025/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.1
Turtonator - 025/142,Turtonator,025/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.04
Scorbunny,Scorbunny,026/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.12
Scorbunny,Scorbunny,026/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.18
Raboot - 027/142,Raboot,027/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Stage 1,Common,Normal,0.12
Raboot - 027/142,Raboot,027/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Stage 1,Common,Reverse Holofoil,0.14
Cinderace ex - 028/142,Cinderace,028/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Stage 2,Double Rare,Holofoil,0.88
Charcadet,Charcadet,029/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.09
Charcadet,Charcadet,029/142,Stellar Crown,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.12
Blastoise ex,Blastoise,030/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 2,Double Rare,Holofoil,2.44
Lapras,Lapras,031/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Uncommon,Reverse Holofoil,0.25
Lapras,Lapras,031/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Uncommon,Normal,0.11
Lapras ex - 032/142,Lapras,032/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Double Rare,Holofoil,1.68
Marill,Marill,033/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.16
Marill,Marill,033/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.12
Azumarill,Azumarill,034/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,0.21
Azumarill,Azumarill,034/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Normal,0.04
Finneon,Finneon,035/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.05
Finneon,Finneon,035/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.16
Lumineon,Lumineon,036/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Normal,0.04
Lumineon,Lumineon,036/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,0.13
Tirtouga,Tirtouga,037/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Reverse Holofoil,0.18
Tirtouga,Tirtouga,037/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Normal,0.06
Carracosta,Carracosta,038/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 2,Rare,Reverse Holofoil,0.2
Carracosta,Carracosta,038/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 2,Rare,Holofoil,0.13
Froakie,Froakie,039/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.2
Froakie,Froakie,039/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.1
Frogadier,Frogadier,040/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,0.15
Frogadier,Frogadier,040/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Normal,0.04
Greninja ex,Greninja,041/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 2,Double Rare,Holofoil,1.34
Crabominable - 042/142,Crabominable,042/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Normal,0.04
Crabominable - 042/142,Crabominable,042/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,0.09
Chewtle,Chewtle,043/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.17
Chewtle,Chewtle,043/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.31
Drednaw,Drednaw,044/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Rare,Holofoil,0.09
Drednaw,Drednaw,044/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Stage 1,Rare,Reverse Holofoil,0.11
Veluza,Veluza,045/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Uncommon,Normal,0.05
Veluza,Veluza,045/142,Stellar Crown,Scarlet & Violet,Pokemon,Water,Basic,Uncommon,Reverse Holofoil,0.17
Electabuzz,Electabuzz,046/142,Stellar Crown,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Reverse Holofoil,0.13
Electabuzz,Electabuzz,046/142,Stellar Crown,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Normal,0.07
Electivire,Electivire,047/142,Stellar Crown,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Normal,0.06
Electivire,Electivire,047/142,Stellar Crown,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Reverse Holofoil,0.18
Chinchou,Chinchou,048/142,Stellar Crown,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Normal,0.05
Chinchou,Chinchou,048/142,Stellar Crown,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Reverse Holofoil,0.13
Lanturn,Lanturn,049/142,Stellar Crown,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Reverse Holofoil,0.12
Lanturn,Lanturn,049/142,Stellar Crown,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Normal,0.04
Joltik - 050/142,Joltik,050/142,Stellar Crown,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Normal,0.2
Joltik - 050/142,Joltik,050/142,Stellar Crown,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Reverse Holofoil,0.27
