cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Surging Sparks Build & Battle Box,,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,55.63
Surging Sparks Build & Battle Box Display,,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,385.77
Surging Sparks Sleeved Booster Pack,,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,9.56
Surging Sparks Sleeved Booster Pack Bundle [Set of 4],,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,36.83
Surging Sparks Booster Pack,,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,6.48
Surging Sparks Booster Pack Art Bundle [Set of 4],,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,27.89
Surging Sparks Booster Box,,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,249.08
Surging Sparks Booster Bundle (LGS),,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,47.32
Surging Sparks Elite Trainer Box,,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,106.61
Surging Sparks Elite Trainer Box Case,,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,909.02
Surging Sparks Pokemon Center Elite Trainer Box (Exclusive),,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,284.06
Surging Sparks Pokemon Center Elite Trainer Box (Exclusive) Case,,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,1074.94
Surging Sparks 3 Pack Blisters [Zapdos],,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,30.07
Surging Sparks 3 Pack Blisters [Quagsire],,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,30.14
Surging Sparks Single Pack Blister [Wooper],,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,17.15
Surging Sparks Single Pack Blister [Pachirisu],,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,15.7
Surging Sparks Premium Checklane Blister [Alakazam],,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,32.82
Surging Sparks Premium Checklane Blister [Chandelure],,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,26.49
Surging Sparks Booster Box Case,,,Surging Sparks,Scarlet & Violet,unknown,,,,Normal,1725.78
Alolan Diglett,Alolan Diglett,122/191,Surging Sparks,Scarlet & Violet,Pokemon,Metal,Basic,Common,Normal,0.09
Alolan Diglett,Alolan Diglett,122/191,Surging Sparks,Scarlet & Violet,Pokemon,Metal,Basic,Common,Reverse Holofoil,0.15
Alolan Dugtrio - 123/191,Alolan Dugtrio,123/191,Surging Sparks,Scarlet & Violet,Pokemon,Metal,Stage 1,Uncommon,Normal,0.11
Alolan Dugtrio - 123/191,Alolan Dugtrio,123/191,Surging Sparks,Scarlet & Violet,Pokemon,Metal,Stage 1,Uncommon,Reverse Holofoil,0.17
Alolan Dugtrio - 208/191,Alolan Dugtrio,208/191,Surging Sparks,Scarlet & Violet,Pokemon,Metal,Stage 1,Illustration Rare,Holofoil,7.51
Alolan Exeggutor ex - 133/191,Alolan Exeggutor,133/191,Surging Sparks,Scarlet & Violet,Pokemon,Dragon,Stage 1,Double Rare,Holofoil,0.7
Alolan Exeggutor ex - 225/191,Alolan Exeggutor,225/191,Surging Sparks,Scarlet & Violet,Pokemon,Dragon,Stage 1,Ultra Rare,Holofoil,2.06
Alolan Exeggutor ex - 242/191,Alolan Exeggutor,242/191,Surging Sparks,Scarlet & Violet,Pokemon,Dragon,Stage 1,Special Illustration Rare,Holofoil,31.54
Altaria,Altaria,134/191,Surging Sparks,Scarlet & Violet,Pokemon,Dragon,Stage 1,Uncommon,Reverse Holofoil,0.25
Altaria,Altaria,134/191,Surging Sparks,Scarlet & Violet,Pokemon,Dragon,Stage 1,Uncommon,Normal,0.15
Amulet of Hope,,162/191,Surging Sparks,Scarlet & Violet,Trainer,Trainer - Pokemon Tool,,ACE SPEC Rare,Holofoil,0.43
