cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Journey Together Pokemon Center Elite Trainer Box (Exclusive),,,Journey Together,Scarlet & Violet,unknown,,,,Normal,189.96
Journey Together Elite Trainer Box,,,Journey Together,Scarlet & Violet,unknown,,,,Normal,107.5
Journey Together Booster Box,,,Journey Together,Scarlet & Violet,unknown,,,,Normal,286.19
Journey Together Sleeved Booster Pack,,,Journey Together,Scarlet & Violet,unknown,,,,Normal,7.34
Journey Together Booster Pack,,,Journey Together,Scarlet & Violet,unknown,,,,Normal,5.53
Journey Together 3 Pack Blister [Yanmega],,,Journey Together,Scarlet & Violet,unknown,,,,Normal,18.32
Journey Together 3 Pack Blister [Scrafty],,,Journey Together,Scarlet & Violet,unknown,,,,Normal,21.08
Journey Together Single Pack Blister [Scraggy],,,Journey Together,Scarlet & Violet,unknown,,,,Normal,9.9
Journey Together Single Pack Blister [Yanma],,,Journey Together,Scarlet & Violet,unknown,,,,Normal,9.8
Journey Together Premium Checklane Blister [Rhyperior],,,Journey Together,Scarlet & Violet,unknown,,,,Normal,26.67
Journey Together Premium Checklane Blister [Klinklang],,,Journey Together,Scarlet & Violet,unknown,,,,Normal,22.8
Journey Together Booster Bundle,,,Journey Together,Scarlet & Violet,unknown,,,,Normal,44.44
Journey Together Build & Battle Box,,,Journey Together,Scarlet & Violet,unknown,,,,Normal,35.22
Journey Together Booster Box Case,,,Journey Together,Scarlet & Violet,unknown,,,,Normal,1785.42
Journey Together Elite Trainer Box Case,,,Journey Together,Scarlet & Violet,unknown,,,,Normal,876.0
Caterpie,Caterpie,001/159,Journey Together,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.13
Caterpie,Caterpie,001/159,Journey Together,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.05
Metapod,Metapod,002/159,Journey Together,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.2
