cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Destined Rivals Pokemon Center Elite Trainer Box (Exclusive),,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,536.26
Destined Rivals Elite Trainer Box,,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,218.99
Destined Rivals Booster Box Case,,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,3400.1
Destined Rivals Booster Box,,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,594.45
Destined Rivals Half Booster Box,,,Destined Rivals,Scarlet & Violet,unknown,,,,,
Destined Rivals Booster Pack,,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,8.29
Destined Rivals Sleeved Booster Pack,,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,9.55
Destined Rivals Booster Bundle,,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,67.05
Destined Rivals Build & Battle Box,,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,49.42
Destined Rivals 3 Pack Blister [Kangaskhan],,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,41.01
Destined Rivals 3 Pack Blister [Zebstrika],,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,39.81
Destined Rivals Premium Checklane Blister [Skeledirge],,,Destined Rivals,Scarlet & Violet,unknown,,,,,
Destined Rivals Premium Checklane Blister [Togekiss],,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,45.44
Destined Rivals Premium Checklane Blister [Gastrodon],,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,17.65
Destined Rivals Premium Checklane Blister [Rabsca],,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,15.92
Destined Rivals Elite Trainer Box Case,,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,1603.83
Destined Rivals Sleeved Booster Case,,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,1289.32
Destined Rivals Booster Bundle Case,,,Destined Rivals,Scarlet & Violet,unknown,,,,Normal,1491.45
