cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Black Bolt  Binder Collection Case,,,Black Bolt,Scarlet & Violet,unknown,,,,,
Black Bolt Binder Collection,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,54.11
Black Bolt Booster Bundle,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,63.85
Black Bolt Booster Bundle Case,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,1666.67
Black Bolt Booster Bundle Display,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,907.5
Black Bolt Booster Pack,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,11.12
Unova Mini Tin [Garbodor & Amoonguss],,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,20.85
Unova Mini Tin [Chandelure & Zorua],,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,23.65
Unova Mini Tin [Krookodile & Excadrill],,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,20.53
Unova Mini Tin [Volcarona & Emolga],,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,18.38
Unova Mini Tin [Lilligant & Whimsicot],,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,21.18
Unova Mini Tin [Mienshao & Klinklang],,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,17.55
Unova Mini Tin [Alomomola & Axew],,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,19.2
Unova Mini Tin [Elektross & Galvantula],,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,18.96
Unova Mini Tin Display,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,173.11
Unova Mini Tin Display Case,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,606.51
Unova Poster Collection,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,34.97
Unova Poster Collection Case,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,189.09
Black Bolt Tech Sticker Collection,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,32.66
Unova Victini Illustration Collection,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,55.73
Black Bolt Elite Trainer Box,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,119.81
Black Bolt Pokemon Center Elite Trainer Box (Exclusive),,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,279.7
Black Bolt Elite Trainer Box Case,,,Black Bolt,Scarlet & Violet,unknown,,,,Normal,1190.93
Black Bolt Pokemon Center Elite Trainer Box (Exclusive) Case,,,Black Bolt,Scarlet & Violet,unknown,,,,,
Klink,Klink,061/086,Black Bolt,Scarlet & Violet,Pokemon,Metal,Basic,Common,Normal,0.02
Klink,Klink,061/086,Black Bolt,Scarlet & Violet,Pokemon,Metal,Basic,Common,Reverse Holofoil,0.14
Klang,Klang,062/086,Black Bolt,Scarlet & Violet,Pokemon,Metal,Stage 1,Common,Reverse Holofoil,0.09
Klang,Klang,062/086,Black Bolt,Scarlet & Violet,Pokemon,Metal,Stage 1,Common,Normal,0.02
Klinklang,Klinklang,063/086,Black Bolt,Scarlet & Violet,Pokemon,Metal,Stage 2,Rare,Reverse Holofoil,0.18
Klinklang,Klinklang,063/086,Black Bolt,Scarlet & Violet,Pokemon,Metal,Stage 2,Rare,Holofoil,0.16
Rufflet,Rufflet,077/086,Black Bolt,Scarlet & Violet,Pokemon,Colorless,Basic,Common,Reverse Holofoil,0.19
