cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Prismatic Evolutions Booster Pack,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,13.14
Prismatic Evolutions Pokemon Center Elite Trainer Box (Exclusive),,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,541.78
Prismatic Evolutions Elite Trainer Box,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,158.18
Prismatic Evolutions Binder Collection,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,92.65
Prismatic Evolutions Poster Collection,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,35.82
Prismatic Evolutions Tech Sticker Collection [Sylveon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,36.38
Prismatic Evolutions Tech Sticker Collection [Glaceon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,33.84
Prismatic Evolutions Tech Sticker Collection [Leafeon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,32.95
Prismatic Evolutions Mini Tin [Vaporeon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,29.58
Prismatic Evolutions Mini Tin [Jolteon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,26.73
Prismatic Evolutions Mini Tin [Flareon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,25.38
Prismatic Evolutions Mini Tin [Espeon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,33.26
Prismatic Evolutions Mini Tin [Umbreon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,31.35
Prismatic Evolutions Mini Tin [Leafeon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,33.07
Prismatic Evolutions Mini Tin [Glaceon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,32.7
Prismatic Evolutions Mini Tin [Sylveon],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,37.83
Prismatic Evolutions Mini Tin Display,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,209.62
Prismatic Evolutions Surprise Box,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,62.13
Prismatic Evolutions Surprise Box Case,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,356.74
Prismatic Evolutions Poster Collection Case,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,181.18
Prismatic Evolutions Elite Trainer Box Case,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,1885.09
Prismatic Evolutions  Binder Collection Case,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,
Prismatic Evolutions Tech Sticker Collection Case,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,420.27
Prismatic Evolutions Tech Sticker Collection [Set of 3],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,102.95
Prismatic Evolutions Booster Bundle,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,79.31
Prismatic Evolutions Pokemon Center Elite Trainer Box (Exclusive) Case,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,2410.61
Prismatic Evolutions Accessory Pouch Special Collection,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,68.76
Prismatic Evolutions 2-Pack Blister [Eevee],,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,34.66
Prismatic Evolutions Booster Bundle Display,,,Prismatic Evolutions,Scarlet & Violet,unknown,,,,Normal,1430.51
Exeggcute,Exeggcute,001/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.03
Exeggcute,Exeggcute,001/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.1
Exeggutor,Exeggutor,002/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.04
Exeggutor,Exeggutor,002/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.11
Pinsir,Pinsir,003/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.1
Pinsir,Pinsir,003/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.04
Budew,Budew,004/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.27
Budew,Budew,004/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.21
Leafeon,Leafeon,005/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Stage 1,Rare,Reverse Holofoil,0.28
Leafeon,Leafeon,005/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Stage 1,Rare,Holofoil,0.26
Leafeon ex - 006/131,Leafeon,006/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Stage 1,Double Rare,Holofoil,3.62
Cottonee,Cottonee,007/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.06
Cottonee,Cottonee,007/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.09
Whimsicott,Whimsicott,008/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Stage 1,Rare,Holofoil,0.11
Whimsicott,Whimsicott,008/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Stage 1,Rare,Reverse Holofoil,0.19
Applin,Applin,009/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.13
Applin,Applin,009/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.15
Dipplin,Dipplin,010/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.22
Dipplin,Dipplin,010/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.11
Hydrapple ex,Hydrapple,011/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Stage 2,Double Rare,Holofoil,0.63
Teal Mask Ogerpon ex - 012/131,Teal Mask Ogerpon,012/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Grass,Basic,Double Rare,Holofoil,4.07
Flareon,Flareon,013/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Fire,Stage 1,Rare,Holofoil,0.32
Flareon,Flareon,013/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Fire,Stage 1,Rare,Reverse Holofoil,0.34
Flareon ex - 014/131,Flareon,014/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Fire,Stage 1,Double Rare,Holofoil,4.34
Litleo,Litleo,015/131,Prismatic Evolutions,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.09
