cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
151 Pokemon Center Elite Trainer Box (Exclusive),,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,1400.99
151 Booster Bundle,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,192.23
151 Poster Collection,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,80.4
151 Poster Collection Case,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,426.63
151 Binder Collection Case,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,835.01
151 Binder Collection,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,216.74
151 Ultra-Premium Collection,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,958.1
151: Alakazam ex Collection,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,108.19
151: Zapdos ex Collection,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,113.1
151 Mini Tin Display,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,491.79
Squirtle - 007/165,Squirtle,007/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.36
Squirtle - 007/165,Squirtle,007/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.26
Squirtle - 170/165,Squirtle,170/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Water,Basic,Illustration Rare,Holofoil,103.45
Wartortle - 008/165,Wartortle,008/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Normal,0.28
Wartortle - 008/165,Wartortle,008/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,0.42
Blastoise ex - 009/165,Blastoise,009/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Water,Stage 2,Double Rare,Holofoil,2.12
Bulbasaur - 001/165,Bulbasaur,001/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.27
Bulbasaur - 001/165,Bulbasaur,001/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.22
Ivysaur - 002/165,Ivysaur,002/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.25
Ivysaur - 002/165,Ivysaur,002/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.42
Venusaur ex - 003/165,Venusaur,003/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 2,Double Rare,Holofoil,1.09
Charmander - 004/165,Charmander,004/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.38
Charmander - 004/165,Charmander,004/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.16
Charmander - 168/165,Charmander,168/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fire,Basic,Illustration Rare,Holofoil,111.27
Charmeleon - 005/165,Charmeleon,005/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,0.32
Charmeleon - 005/165,Charmeleon,005/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fire,Stage 1,Uncommon,Normal,0.24
Charizard ex - 006/165,Charizard,006/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fire,Stage 2,Double Rare,Holofoil,10.38
Caterpie - 010/165,Caterpie,010/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.29
Caterpie - 010/165,Caterpie,010/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.11
Metapod,Metapod,011/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.23
Metapod,Metapod,011/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,2.54
Butterfree,Butterfree,012/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 2,Uncommon,Reverse Holofoil,0.27
Butterfree,Butterfree,012/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 2,Uncommon,Normal,0.15
Weedle,Weedle,013/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.12
Weedle,Weedle,013/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.28
Kakuna,Kakuna,014/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.21
Kakuna,Kakuna,014/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,3.66
Beedrill,Beedrill,015/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 2,Rare,Reverse Holofoil,1.18
Beedrill,Beedrill,015/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Grass,Stage 2,Rare,Holofoil,0.22
Pidgey,Pidgey,016/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Basic,Common,Normal,0.21
Pidgey,Pidgey,016/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Basic,Common,Reverse Holofoil,0.31
Pidgeotto,Pidgeotto,017/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Stage 1,Common,Normal,0.3
Pidgeotto,Pidgeotto,017/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Stage 1,Common,Reverse Holofoil,3.3
Pidgeot,Pidgeot,018/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Stage 2,Uncommon,Normal,0.13
Pidgeot,Pidgeot,018/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Stage 2,Uncommon,Reverse Holofoil,0.27
Rattata,Rattata,019/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Basic,Common,Reverse Holofoil,0.22
Rattata,Rattata,019/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Basic,Common,Normal,0.1
Raticate,Raticate,020/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Stage 1,Uncommon,Reverse Holofoil,0.2
Raticate,Raticate,020/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Stage 1,Uncommon,Normal,0.08
Spearow,Spearow,021/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Basic,Common,Reverse Holofoil,1.32
Spearow,Spearow,021/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Basic,Common,Normal,0.09
Fearow,Fearow,022/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Stage 1,Uncommon,Reverse Holofoil,0.19
Fearow,Fearow,022/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Colorless,Stage 1,Uncommon,Normal,0.07
151 Elite Trainer Box,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,607.39
151 Booster Pack,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,27.4
151 Elite Trainer Box Case,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,4776.95
151 Booster Bundle Display,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,2191.75
151 Booster Bundle Display Case,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,10118.59
Pikachu - 173/165,Pikachu,173/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Lightning,Basic,Illustration Rare,Holofoil,81.34
Ekans,Ekans,023/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Basic,Common,Reverse Holofoil,0.29
Ekans,Ekans,023/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Basic,Common,Normal,0.11
Arbok ex - 024/165,Arbok,024/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Stage 1,Double Rare,Holofoil,1.57
Raichu,Raichu,026/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Lightning,Stage 1,Rare,Holofoil,0.26
Raichu,Raichu,026/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Lightning,Stage 1,Rare,Reverse Holofoil,1.47
151 Ultra-Premium Collection Case,,,Scarlet & Violet 151,Scarlet & Violet,unknown,,,,Normal,2968.21
Sandshrew,Sandshrew,027/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fighting,Basic,Common,Reverse Holofoil,0.24
Sandshrew,Sandshrew,027/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fighting,Basic,Common,Normal,0.12
Sandslash,Sandslash,028/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fighting,Stage 1,Uncommon,Normal,0.12
Sandslash,Sandslash,028/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fighting,Stage 1,Uncommon,Reverse Holofoil,0.26
Nidoran F,Nidoran F,029/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Basic,Common,Reverse Holofoil,1.92
Nidoran F,Nidoran F,029/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Basic,Common,Normal,0.18
Nidorina,Nidorina,030/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Stage 1,Uncommon,Normal,0.1
Nidorina,Nidorina,030/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Stage 1,Uncommon,Reverse Holofoil,0.27
Nidoqueen,Nidoqueen,031/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Stage 2,Uncommon,Reverse Holofoil,0.27
Nidoqueen,Nidoqueen,031/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Stage 2,Uncommon,Normal,0.13
Nidoran M,Nidoran M,032/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Basic,Common,Reverse Holofoil,3.12
Nidoran M,Nidoran M,032/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Basic,Common,Normal,0.22
Nidorino,Nidorino,033/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Stage 1,Uncommon,Reverse Holofoil,0.25
Nidorino,Nidorino,033/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Stage 1,Uncommon,Normal,0.12
Nidoking - 034/165,Nidoking,034/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Stage 2,Rare,Reverse Holofoil,1.22
Nidoking - 034/165,Nidoking,034/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Darkness,Stage 2,Rare,Holofoil,0.29
Clefairy,Clefairy,035/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Reverse Holofoil,0.3
Clefairy,Clefairy,035/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Normal,0.12
Clefable,Clefable,036/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Psychic,Stage 1,Uncommon,Normal,0.14
Clefable,Clefable,036/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,0.34
Vulpix,Vulpix,037/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.28
Vulpix,Vulpix,037/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.13
Ninetales ex - 038/165,Ninetales,038/165,Scarlet & Violet 151,Scarlet & Violet,Pokemon,Fire,Stage 1,Double Rare,Holofoil,2.47
