cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Shrouded Fable Booster Pack,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,9.4
Shrouded Fable Pokemon Center Elite Trainer Box (Exclusive),,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,148.73
Shrouded Fable Elite Trainer Box,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,89.34
Kingambit Illustration Collection,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,37.2
Kingdra ex Special Illustration Collection,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,135.79
Greninja ex Special Illustration Collection,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,151.47
Shrouded Fable 3 Pack Blister [Pecharunt],,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,32.34
Shrouded Fable Mini Tin Display,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,168.98
Shrouded Fable Mini Tin [Set of 5],,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,85.69
Shrouded Fable Mini Tin (Zoroark),,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,23.37
Shrouded Fable Mini Tin (Munkidori),,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,16.93
Shrouded Fable Mini Tin (Okidogi),,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,22.63
Shrouded Fable Mini Tin (Fezandipiti),,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,19.85
Shrouded Fable Mini Tin (Dusknoir),,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,17.57
Shrouded Fable Booster Bundle,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,49.61
Shrouded Fable Special Illustration Collection Case,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,929.97
Kingambit Illustration Collection Case,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,219.75
Shrouded Fable Elite Trainer Box Case,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,863.21
Shrouded Fable Pokemon Center Elite Trainer Box (Exclusive) Case,,,Shrouded Fable,Scarlet & Violet,unknown,,,,Normal,599.94
Joltik,Joltik,001/064,Shrouded Fable,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.09
Joltik,Joltik,001/064,Shrouded Fable,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.14
Galvantula,Galvantula,002/064,Shrouded Fable,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.17
Galvantula,Galvantula,002/064,Shrouded Fable,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.23
Rowlet,Rowlet,003/064,Shrouded Fable,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.11
Rowlet,Rowlet,003/064,Shrouded Fable,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.19
Dartrix,Dartrix,004/064,Shrouded Fable,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.18
Dartrix,Dartrix,004/064,Shrouded Fable,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.1
Decidueye,Decidueye,005/064,Shrouded Fable,Scarlet & Violet,Pokemon,Grass,Stage 2,Uncommon,Normal,0.12
Decidueye,Decidueye,005/064,Shrouded Fable,Scarlet & Violet,Pokemon,Grass,Stage 2,Uncommon,Reverse Holofoil,0.2
