cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
White Flare Pokemon Center Elite Trainer Box (Exclusive),,,White Flare,Scarlet & Violet,unknown,,,,Normal,226.15
White Flare Elite Trainer Box,,,White Flare,Scarlet & Violet,unknown,,,,Normal,110.28
White Flare Pokemon Center Elite Trainer Box (Exclusive) Case,,,White Flare,Scarlet & Violet,unknown,,,,,
White Flare Elite Trainer Box Case,,,White Flare,Scarlet & Violet,unknown,,,,Normal,1031.81
White Flare  Binder Collection Case,,,White Flare,Scarlet & Violet,unknown,,,,Normal,290.1
White Flare Binder Collection,,,White Flare,Scarlet & Violet,unknown,,,,Normal,52.33
White Flare Booster Bundle,,,White Flare,Scarlet & Violet,unknown,,,,Normal,59.54
White Flare Booster Bundle Case,,,White Flare,Scarlet & Violet,unknown,,,,Normal,1595.14
White Flare Booster Bundle Display,,,White Flare,Scarlet & Violet,unknown,,,,Normal,801.81
White Flare Booster Pack,,,White Flare,Scarlet & Violet,unknown,,,,Normal,10.06
White Flare Tech Sticker Collection,,,White Flare,Scarlet & Violet,unknown,,,,Normal,32.32
Sewaddle,Sewaddle,001/086,White Flare,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.16
Sewaddle,Sewaddle,001/086,White Flare,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.07
Swadloon,Swadloon,002/086,White Flare,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Normal,0.05
Swadloon,Swadloon,002/086,White Flare,Scarlet & Violet,Pokemon,Grass,Stage 1,Common,Reverse Holofoil,0.18
Leavanny,Leavanny,003/086,White Flare,Scarlet & Violet,Pokemon,Grass,Stage 2,Uncommon,Normal,0.05
Leavanny,Leavanny,003/086,White Flare,Scarlet & Violet,Pokemon,Grass,Stage 2,Uncommon,Reverse Holofoil,0.31
Cottonee,Cottonee,004/086,White Flare,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.13
Cottonee,Cottonee,004/086,White Flare,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.1
Whimsicott ex,Whimsicott,005/086,White Flare,Scarlet & Violet,Pokemon,Grass,Stage 1,Double Rare,Holofoil,0.51
Deerling,Deerling,006/086,White Flare,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.17
Deerling,Deerling,006/086,White Flare,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.12
Sawsbuck,Sawsbuck,007/086,White Flare,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.08
Sawsbuck,Sawsbuck,007/086,White Flare,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.24
Shelmet,Shelmet,008/086,White Flare,Scarlet & Violet,Pokemon,Grass,Basic,Common,Reverse Holofoil,0.1
Shelmet,Shelmet,008/086,White Flare,Scarlet & Violet,Pokemon,Grass,Basic,Common,Normal,0.05
Accelgor,Accelgor,009/086,White Flare,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Normal,0.04
Accelgor,Accelgor,009/086,White Flare,Scarlet & Violet,Pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,0.16
Virizion,Virizion,010/086,White Flare,Scarlet & Violet,Pokemon,Grass,Basic,Rare,Holofoil,0.12
Virizion,Virizion,010/086,White Flare,Scarlet & Violet,Pokemon,Grass,Basic,Rare,Reverse Holofoil,0.2
Tepig,Tepig,011/086,White Flare,Scarlet & Violet,Pokemon,Fire,Basic,Common,Holofoil,0.13
Tepig,Tepig,011/086,White Flare,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.12
Tepig,Tepig,011/086,White Flare,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.18
Pignite,Pignite,012/086,White Flare,Scarlet & Violet,Pokemon,Fire,Stage 1,Common,Reverse Holofoil,0.15
Pignite,Pignite,012/086,White Flare,Scarlet & Violet,Pokemon,Fire,Stage 1,Common,Normal,0.11
Emboar,Emboar,013/086,White Flare,Scarlet & Violet,Pokemon,Fire,Stage 2,Rare,Reverse Holofoil,0.23
Emboar,Emboar,013/086,White Flare,Scarlet & Violet,Pokemon,Fire,Stage 2,Rare,Holofoil,0.16
Pansear,Pansear,014/086,White Flare,Scarlet & Violet,Pokemon,Fire,Basic,Common,Normal,0.04
Pansear,Pansear,014/086,White Flare,Scarlet & Violet,Pokemon,Fire,Basic,Common,Reverse Holofoil,0.14
Simisear,Simisear,015/086,White Flare,Scarlet & Violet,Pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,0.33
Simisear,Simisear,015/086,White Flare,Scarlet & Violet,Pokemon,Fire,Stage 1,Uncommon,Normal,0.07
Heatmor,Heatmor,019/086,White Flare,Scarlet & Violet,Pokemon,Fire,Basic,Uncommon,Reverse Holofoil,0.17
Heatmor,Heatmor,019/086,White Flare,Scarlet & Violet,Pokemon,Fire,Basic,Uncommon,Normal,0.04
Reshiram ex,Reshiram,020/086,White Flare,Scarlet & Violet,Pokemon,Fire,Basic,Double Rare,Holofoil,0.65
Oshawott,Oshawott,021/086,White Flare,Scarlet & Violet,Pokemon,Water,Basic,Common,Holofoil,0.34
Oshawott,Oshawott,021/086,White Flare,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.15
Oshawott,Oshawott,021/086,White Flare,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.19
Dewott,Dewott,022/086,White Flare,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Normal,0.11
Dewott,Dewott,022/086,White Flare,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Reverse Holofoil,0.19
Samurott,Samurott,023/086,White Flare,Scarlet & Violet,Pokemon,Water,Stage 2,Rare,Holofoil,0.22
Samurott,Samurott,023/086,White Flare,Scarlet & Violet,Pokemon,Water,Stage 2,Rare,Reverse Holofoil,0.23
Basculin,Basculin,024/086,White Flare,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.05
Basculin,Basculin,024/086,White Flare,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.13
Ducklett,Ducklett,025/086,White Flare,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.13
Ducklett,Ducklett,025/086,White Flare,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.05
Swanna,Swanna,026/086,White Flare,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Normal,0.07
Swanna,Swanna,026/086,White Flare,Scarlet & Violet,Pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,0.23
Vanillite,Vanillite,027/086,White Flare,Scarlet & Violet,Pokemon,Water,Basic,Common,Normal,0.07
Vanillite,Vanillite,027/086,White Flare,Scarlet & Violet,Pokemon,Water,Basic,Common,Reverse Holofoil,0.13
Vanillish,Vanillish,028/086,White Flare,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Normal,0.08
Vanillish,Vanillish,028/086,White Flare,Scarlet & Violet,Pokemon,Water,Stage 1,Common,Reverse Holofoil,0.13
Vanilluxe,Vanilluxe,029/086,White Flare,Scarlet & Violet,Pokemon,Water,Stage 2,Uncommon,Normal,0.07
Vanilluxe,Vanilluxe,029/086,White Flare,Scarlet & Violet,Pokemon,Water,Stage 2,Uncommon,Reverse Holofoil,0.2
Keldeo ex,Keldeo,030/086,White Flare,Scarlet & Violet,Pokemon,Water,Basic,Double Rare,Holofoil,0.51
Blitzle,Blitzle,031/086,White Flare,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Reverse Holofoil,0.14
Blitzle,Blitzle,031/086,White Flare,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Normal,0.05
Zebstrika,Zebstrika,032/086,White Flare,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Normal,0.03
Zebstrika,Zebstrika,032/086,White Flare,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Reverse Holofoil,0.18
Joltik,Joltik,033/086,White Flare,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Reverse Holofoil,0.15
Joltik,Joltik,033/086,White Flare,Scarlet & Violet,Pokemon,Lightning,Basic,Common,Normal,0.09
Galvantula,Galvantula,034/086,White Flare,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Normal,0.07
Galvantula,Galvantula,034/086,White Flare,Scarlet & Violet,Pokemon,Lightning,Stage 1,Uncommon,Reverse Holofoil,0.17
Stunfisk,Stunfisk,035/086,White Flare,Scarlet & Violet,Pokemon,Lightning,Basic,Uncommon,Reverse Holofoil,0.15
Stunfisk,Stunfisk,035/086,White Flare,Scarlet & Violet,Pokemon,Lightning,Basic,Uncommon,Normal,0.05
Woobat,Woobat,036/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Reverse Holofoil,0.12
Woobat,Woobat,036/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Normal,0.05
Swoobat,Swoobat,037/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Stage 1,Uncommon,Normal,0.07
Swoobat,Swoobat,037/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,0.2
Sigilyph,Sigilyph,038/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Basic,Uncommon,Reverse Holofoil,0.22
Sigilyph,Sigilyph,038/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Basic,Uncommon,Normal,0.03
Yamask,Yamask,039/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Reverse Holofoil,0.14
Yamask,Yamask,039/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Normal,0.03
Cofagrigus,Cofagrigus,040/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Stage 1,Rare,Reverse Holofoil,0.18
Cofagrigus,Cofagrigus,040/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Stage 1,Rare,Holofoil,0.15
Gothita,Gothita,041/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Reverse Holofoil,0.18
Gothita,Gothita,041/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Normal,0.06
Gothorita,Gothorita,042/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Stage 1,Common,Normal,0.07
Gothorita,Gothorita,042/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Stage 1,Common,Reverse Holofoil,0.16
Gothitelle,Gothitelle,043/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Stage 2,Rare,Reverse Holofoil,0.17
Gothitelle,Gothitelle,043/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Stage 2,Rare,Holofoil,0.12
Frillish,Frillish,044/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Reverse Holofoil,0.24
Frillish,Frillish,044/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Basic,Common,Normal,0.23
Jellicent ex,Jellicent,045/086,White Flare,Scarlet & Violet,Pokemon,Psychic,Stage 1,Double Rare,Holofoil,0.62
Roggenrola,Roggenrola,046/086,White Flare,Scarlet & Violet,Pokemon,Fighting,Basic,Common,Normal,0.11
Roggenrola,Roggenrola,046/086,White Flare,Scarlet & Violet,Pokemon,Fighting,Basic,Common,Reverse Holofoil,0.14
Boldore,Boldore,047/086,White Flare,Scarlet & Violet,Pokemon,Fighting,Stage 1,Common,Normal,0.05
Boldore,Boldore,047/086,White Flare,Scarlet & Violet,Pokemon,Fighting,Stage 1,Common,Reverse Holofoil,0.14
Gigalith,Gigalith,048/086,White Flare,Scarlet & Violet,Pokemon,Fighting,Stage 2,Uncommon,Reverse Holofoil,0.18
