productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
644279,Mega Evolution Elite Trainer Box [Mega Gardevoir],None,https://tcgplayer-cdn.tcgplayer.com/product/644279_200w.jpg,3,24380,https://cpt.tcgcsv.com/CK97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!<br><br>

The Pokémon TCG: Mega Evolution Elite Trainer Box includes:<br>
• 9 Pokémon TCG: Mega Evolution booster packs<br>
• 1 full-art foil promo card featuring Riolu or Alakazam<br>
• 65 card sleeves<br>
• 40 Pokémon TCG Energy cards<br>
• A player’s guide to the Mega Evolution expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 1 plastic coin<br>
• A collector’s box to hold everything, with 6 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Liv<br>",0196214114845,79.99,99.99,3000.0,95.37,,Normal,,,,,,,,,,
644282,Mega Evolution Pokemon Center Elite Trainer Box (Exclusive) [Mega Lucario],None,https://tcgplayer-cdn.tcgplayer.com/product/644282_200w.jpg,3,24380,https://cpt.tcgcsv.com/GK97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!<br><br>
The Pokémon TCG: Mega Evolution Pokémon Center Elite Trainer Box includes:<br>

• 11 Pokémon TCG: Mega Evolution booster packs<br>
• 1 full-art foil promo card featuring Riolu or Alakazam with a Pokémon Center logo<br>
• 1 full-art foil promo card featuring Riolu or Alakazam<br>
• 65 card sleeves<br>
• 40 Pokémon TCG Energy cards<br>
• A player’s guide to the Mega Evolution expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 1 plastic coin<br>
• A collector’s box to hold everything, with 6 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live",,245.0,300.0,1999.0,245.08,,Normal,,,,,,,,,,
644298,Mega Evolution Booster Box,None,https://tcgplayer-cdn.tcgplayer.com/product/644298_200w.jpg,3,24380,https://cpt.tcgcsv.com/-K97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!

Each box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>",1096214136144,313.95,334.98,500.0,310.18,,Normal,,,,,,,,,,
644300,Mega Evolution Enhanced Booster Box,None,https://tcgplayer-cdn.tcgplayer.com/product/644300_200w.jpg,3,24380,https://cpt.tcgcsv.com/0L97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!


<br><br>Each Mega Evolution booster box contains 36 booster packs.
<br>1 stamped illustration rare-style promo card featuring Bulbasaur",,284.99,329.44,2999.99,290.46,,Normal,,,,,,,,,,
644351,Mega Evolution Half Booster Box,None,https://tcgplayer-cdn.tcgplayer.com/product/644351_200w.jpg,3,24380,https://cpt.tcgcsv.com/2M97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!,br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!

<br><br>Each Scarlet & Violet— Mega Evolution half booster box contains 18 booster packs. <em>(Each pack contains 10 random cards)</em>",,250.0,250.0,250.0,,,Normal,,,,,,,,,,
644352,Mega Evolution Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/644352_200w.jpg,3,24380,https://cpt.tcgcsv.com/3M97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!
<br><br>
Each pack contains 10 cards.",0196214136113,5.26,7.48,99.99,6.42,,Normal,,,,,,,,,,
644354,Mega Evolution Sleeved Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/644354_200w.jpg,3,24380,https://cpt.tcgcsv.com/6M97,2025-09-26T18:44:52.18,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!<br><br>

Each Mega Evolution sleeved booster pack contains 10 random cards.",0196214115637,7.49,9.74,25.0,8.99,,Normal,,,,,,,,,,
644355,Mega Evolution Sleeved Booster Pack Art Bundle [Set of 4],None,https://tcgplayer-cdn.tcgplayer.com/product/644355_200w.jpg,3,24380,https://cpt.tcgcsv.com/7M97,2025-09-26T04:11:11.67,1,"Collect each of the 4 unique art packs Mega Evolution.<br>
Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!<br>

<br>Each Mega Evolution Sleeved Booster Pack contains 10 random cards.",,34.97,42.99,77.0,39.62,,Normal,,,,,,,,,,
644356,Mega Evolution 3 Pack Blister [Golduck],None,https://tcgplayer-cdn.tcgplayer.com/product/644356_200w.jpg,3,24380,https://cpt.tcgcsv.com/8M97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!
<br><br>
Each blister comes with 3 Mega Evolution booster packs and a promotional card of Golduck.",0196214136106,26.44,30.0,53.68,28.23,,Normal,,,,,,,,,,
644357,Mega Evolution 3 Pack Blister [Psyduck],None,https://tcgplayer-cdn.tcgplayer.com/product/644357_200w.jpg,3,24380,https://cpt.tcgcsv.com/9M97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!
<br><br>
Each blister comes with 3 Mega Evolution booster packs and a promotional card of Psyduck.",0196214136106,31.0,35.0,99.0,34.72,,Normal,,,,,,,,,,
