productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
565599,Surging Sparks Build & Battle Box,None,https://tcgplayer-cdn.tcgplayer.com/product/565599_200w.jpg,3,23651,https://cpt.tcgcsv.com/_fx6,2024-12-23T20:27:39.373,1,"A Growing Storm of Stellar Strength!<br>
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion!
<br><br>
Product details:<br>
• A 40-card ready-to-play deck, including 1 of 4 unique foil promo cards<br>
• 4 Pokémon TCG: Scarlet & Violet—Surging Sparks booster packs<br>
• A code card for Pokémon TCG Live<br>",0820650859571,50.0,64.95,95.0,55.63,,Normal,,,,,,,,,,
565600,Surging Sparks Build & Battle Box Display,None,https://tcgplayer-cdn.tcgplayer.com/product/565600_200w.jpg,3,23651,https://cpt.tcgcsv.com/0gx6,2024-12-23T20:30:16.367,1,"Each display contains 10 Surging Sparks Build and Battle Boxes.<br>
A Growing Storm of Stellar Strength!<br>
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion!
<br><br>

Product Details:
• A 40-card ready-to-play deck, including 1 of 4 unique foil promo cards
• 4 Pokémon TCG: Scarlet & Violet—Surging Sparks booster packs
• A code card for Pokémon TCG Live",0820650869570,489.99,499.95,499.99,385.77,,Normal,,,,,,,,,,
565602,Surging Sparks Sleeved Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/565602_200w.jpg,3,23651,https://cpt.tcgcsv.com/3gx6,2024-11-08T05:09:13.36,1,"A Growing Storm of Stellar Strength! <br>
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion!<BR><BR>

Product details: <br>
• Each Surging Sparks sleeved booster pack contains 10 random cards.",0820650859328,7.56,10.35,22.0,9.56,,Normal,,,,,,,,,,
565603,Surging Sparks Sleeved Booster Pack Bundle [Set of 4],None,https://tcgplayer-cdn.tcgplayer.com/product/565603_200w.jpg,3,23651,https://cpt.tcgcsv.com/5gx6,2025-05-21T19:14:29.01,1,"A Growing Storm of Stellar Strength!<br>
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion! <br><br>
Collect 4 bundled packs for Surging Spark.
<br>Each Surging Sparks Sleeved Booster Pack contains 10 random cards.",,39.99,47.48,75.0,36.83,,Normal,,,,,,,,,,
565604,Surging Sparks Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/565604_200w.jpg,3,23651,https://cpt.tcgcsv.com/6gx6,2024-11-13T21:09:59.76,1,"A Growing Storm of Stellar Strength! <br>
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion! <br><BR>

Product details:
• Each pack contains 10 random cards",0820650413124,5.94,7.5,70.0,6.48,,Normal,,,,,,,,,,
565605,Surging Sparks Booster Pack Art Bundle [Set of 4],None,https://tcgplayer-cdn.tcgplayer.com/product/565605_200w.jpg,3,23651,https://cpt.tcgcsv.com/7gx6,2024-11-08T05:09:13.36,1,"A Growing Storm of Stellar Strength!<br>
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion! <br><br>

Collect each of the 4 unique art packs for Surging Sparks.
<br>Each Surging Sparks booster pack contains 10 random cards.",,24.99,30.03,35.0,27.89,,Normal,,,,,,,,,,
565606,Surging Sparks Booster Box,None,https://tcgplayer-cdn.tcgplayer.com/product/565606_200w.jpg,3,23651,https://cpt.tcgcsv.com/8gx6,2025-05-21T19:13:16.737,1,"A Growing Storm of Stellar Strength!<br>
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion! <br><br>

Each Surging Sparks booster display contains 36 booster packs.<br> <em>(Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.)</em>
• Over 250 cards<br>
• More than a dozen new Pokémon ex<br>
• More new ACE SPEC cards<br>
• More than 20 Trainer cards<br>
• More than 50 Pokémon and Trainer cards with special illustrations<br>",0820650423123,245.0,300.0,4999.99,249.08,,Normal,,,,,,,,,,
565629,Surging Sparks Booster Bundle (LGS),None,https://tcgplayer-cdn.tcgplayer.com/product/565629_200w.jpg,3,23651,https://cpt.tcgcsv.com/Cgx6,2026-02-18T19:12:21.287,1,"A Growing Storm of Stellar Strength!
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion!<br>
• Over 250 cards<br>
• 8 ACE SPEC cards<br>
• 8 Stellar Tera Pokémon ex and 9 Tera Pokémon ex<br>
• 23 illustration rare Pokémon<br>
• 11 special illustration rare Pokémon and Supporter cards<br>
• 6 hyper rare gold etched cards<br>
• Electrifying Lightning-type Pokémon<br>
<br><br>
Includes: <br>
• 6 Pokémon TCG: Scarlet & Violet—Surging Sparks booster packs
<br><br><em>(Pokemon TCG booster packs and contents vary by product.)</em>
<br>
<br><strong>UPC:</strong> 0820650859502
<br><strong>SKU:</strong> 191-85950",0820650859502,35.0,58.45,999.0,47.32,,Normal,,,,,,,,,,
565630,Surging Sparks Elite Trainer Box,None,https://tcgplayer-cdn.tcgplayer.com/product/565630_200w.jpg,3,23651,https://cpt.tcgcsv.com/Dgx6,2024-11-08T05:09:13.36,2,"A Growing Storm of Stellar Strength!<br>
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion!<br><br>

The Pokémon TCG: Scarlet & Violet—Surging Sparks Elite Trainer Box includes:<br>
• 9 Pokémon TCG: Scarlet & Violet—Surging Sparks booster packs<br>
• 1 full-art foil promo card featuring Magneton<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player’s guide to the Scarlet & Violet—Surging Sparks expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A collector’s box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",0820650859526,92.99,118.99,999.99,106.61,,Normal,,,,,,,,,,
565631,Surging Sparks Elite Trainer Box Case,None,https://tcgplayer-cdn.tcgplayer.com/product/565631_200w.jpg,3,23651,https://cpt.tcgcsv.com/Fgx6,2024-11-08T05:09:13.36,1,"Each sealed Elite Trainer Box case contains 10 Elite Trainer Boxes.
<br><br>
A Growing Storm of Stellar Strength!<br>
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion!<br><br>

The Pokémon TCG: Scarlet & Violet—Surging Sparks Elite Trainer Box includes:<br>
• 9 Pokémon TCG: Scarlet & Violet—Surging Sparks booster packs<br>
• 1 full-art foil promo card featuring Magneton<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player’s guide to the Scarlet & Violet—Surging Sparks expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A collector’s box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",0820650879524,1129.97,1200.0,1399.95,909.02,,Normal,,,,,,,,,,
565632,Surging Sparks Pokemon Center Elite Trainer Box (Exclusive),None,https://tcgplayer-cdn.tcgplayer.com/product/565632_200w.jpg,3,23651,https://cpt.tcgcsv.com/Ggx6,2024-11-08T05:09:13.36,2,"A Growing Storm of Stellar Strength!<br>
Terawatts of electricity crash down from the sky in a tropical paradise, setting the stage for the supercharged Pikachu ex! With the power of a Stellar Tera Pokémon ex, it lights up the shoreline, revealing a parade of dragon Pokémon led by the towering Alolan Exeggutor ex! Archaludon ex and Latias ex round out the horde, while new ACE SPEC cards and more new Pokémon ex bring surprises of their own. Currents crackle and dragons roar in the Pokémon TCG: Scarlet & Violet—Surging Sparks expansion.<br><br>

The Pokémon TCG: Scarlet & Violet—Surging Sparks Pokémon Center Elite Trainer Box includes:<br>
•11 Pokémon TCG: Scarlet & Violet—Surging Sparks booster packs<br>
       •Each booster pack contains 10 cards and 1 Basic Energy. Cards vary by pack.<br>
• 1 full-art foil promo card featuring Magneton with a Pokémon Center logo<br>
• 1 full-art foil promo card featuring Magneton<br>
• 65 card sleeves<br>
• 45 Pokémon TCG Energy cards<br>
• A player’s guide to the Scarlet & Violet—Surging Sparks expansion
6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 plastic condition markers<br>
• A box to hold everything, with 4 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live<br>",,274.99,324.99,649.99,284.06,,Normal,,,,,,,,,,
